"brand","dma","period","gross_add"
"Suddenlink","ABILENE, TX",2016-01-03,23
"Suddenlink","ABILENE, TX",2016-01-10,18
"Suddenlink","ABILENE, TX",2016-01-17,15
"Suddenlink","ABILENE, TX",2016-01-24,12
"Suddenlink","ABILENE, TX",2016-01-31,11
"Suddenlink","ABILENE, TX",2016-02-07,14
"Suddenlink","ABILENE, TX",2016-02-14,15
"Suddenlink","ABILENE, TX",2016-02-21,16
"Suddenlink","ABILENE, TX",2016-02-28,21
"Suddenlink","ABILENE, TX",2016-03-06,14
"Suddenlink","ABILENE, TX",2016-03-13,13
"Suddenlink","ABILENE, TX",2016-03-20,12
"Suddenlink","ABILENE, TX",2016-03-27,15
"Suddenlink","ABILENE, TX",2016-04-03,11
"Suddenlink","ABILENE, TX",2016-04-10,10
"Suddenlink","ABILENE, TX",2016-04-17,10
"Suddenlink","ABILENE, TX",2016-04-24,15
"Suddenlink","ABILENE, TX",2016-05-01,9
"Suddenlink","ABILENE, TX",2016-05-08,14
"Suddenlink","ABILENE, TX",2016-05-15,14
"Suddenlink","ABILENE, TX",2016-05-22,10
"Suddenlink","ABILENE, TX",2016-05-29,16
"Suddenlink","ABILENE, TX",2016-06-05,15
"Suddenlink","ABILENE, TX",2016-06-12,15
"Suddenlink","ABILENE, TX",2016-06-19,19
"Suddenlink","ABILENE, TX",2016-06-26,26
"Suddenlink","ABILENE, TX",2016-07-03,15
"Suddenlink","ABILENE, TX",2016-07-10,13
"Suddenlink","ABILENE, TX",2016-07-17,11
"Suddenlink","ABILENE, TX",2016-07-24,16
"Suddenlink","ABILENE, TX",2016-07-31,16
"Suddenlink","ABILENE, TX",2016-08-07,13
"Suddenlink","ABILENE, TX",2016-08-14,11
"Suddenlink","ABILENE, TX",2016-08-21,24
"Suddenlink","ABILENE, TX",2016-08-28,21
"Suddenlink","ABILENE, TX",2016-09-04,11
"Suddenlink","ABILENE, TX",2016-09-11,16
"Suddenlink","ABILENE, TX",2016-09-18,26
"Suddenlink","ABILENE, TX",2016-09-25,31
"Suddenlink","ABILENE, TX",2016-10-02,17
"Suddenlink","ABILENE, TX",2016-10-09,10
"Suddenlink","ABILENE, TX",2016-10-16,13
"Suddenlink","ABILENE, TX",2016-10-23,16
"Suddenlink","ABILENE, TX",2016-10-30,21
"Suddenlink","ABILENE, TX",2016-11-06,7
"Suddenlink","ABILENE, TX",2016-11-13,10
"Suddenlink","ABILENE, TX",2016-11-20,8
"Suddenlink","ABILENE, TX",2016-11-27,13
"Suddenlink","ABILENE, TX",2016-12-04,16
"Suddenlink","ABILENE, TX",2016-12-11,13
"Suddenlink","ABILENE, TX",2016-12-18,13
"Suddenlink","ABILENE, TX",2016-12-25,11
"Suddenlink","ABILENE, TX",2017-01-01,9
"Suddenlink","ABILENE, TX",2017-01-08,17
"Suddenlink","ABILENE, TX",2017-01-15,15
"Suddenlink","ABILENE, TX",2017-01-22,17
"Suddenlink","ABILENE, TX",2017-01-29,17
"Suddenlink","ABILENE, TX",2017-02-05,22
"Suddenlink","ABILENE, TX",2017-02-12,13
"Suddenlink","ABILENE, TX",2017-02-19,18
"Suddenlink","ABILENE, TX",2017-02-26,10
"Suddenlink","ABILENE, TX",2017-03-05,16
"Suddenlink","ABILENE, TX",2017-03-12,14
"Suddenlink","ABILENE, TX",2017-03-19,11
"Suddenlink","ABILENE, TX",2017-03-26,21
"Suddenlink","ABILENE, TX",2017-04-02,16
"Suddenlink","ABILENE, TX",2017-04-09,16
"Suddenlink","ABILENE, TX",2017-04-16,19
"Suddenlink","ABILENE, TX",2017-04-23,9
"Suddenlink","ABILENE, TX",2017-04-30,12
"Suddenlink","ABILENE, TX",2017-05-07,18
"Suddenlink","ABILENE, TX",2017-05-14,11
"Suddenlink","ABILENE, TX",2017-05-21,11
"Suddenlink","ABILENE, TX",2017-05-28,15
"Suddenlink","ABILENE, TX",2017-06-04,11
"Suddenlink","ABILENE, TX",2017-06-11,10
"Suddenlink","ABILENE, TX",2017-06-18,20
"Suddenlink","ABILENE, TX",2017-06-25,18
"Suddenlink","ABILENE, TX",2017-07-02,12
"Suddenlink","ABILENE, TX",2017-07-09,12
