"brand","period","dma","sales"
"Suddenlink",2016-01-03,"ABILENE, TX",21
"Suddenlink",2016-01-10,"ABILENE, TX",19
"Suddenlink",2016-01-17,"ABILENE, TX",12
"Suddenlink",2016-01-24,"ABILENE, TX",14
"Suddenlink",2016-01-31,"ABILENE, TX",14
"Suddenlink",2016-02-07,"ABILENE, TX",21
"Suddenlink",2016-02-14,"ABILENE, TX",11
"Suddenlink",2016-02-21,"ABILENE, TX",18
"Suddenlink",2016-02-28,"ABILENE, TX",22
"Suddenlink",2016-03-06,"ABILENE, TX",15
"Suddenlink",2016-03-13,"ABILENE, TX",12
"Suddenlink",2016-03-20,"ABILENE, TX",13
"Suddenlink",2016-03-27,"ABILENE, TX",21
"Suddenlink",2016-04-03,"ABILENE, TX",12
"Suddenlink",2016-04-10,"ABILENE, TX",9
"Suddenlink",2016-04-17,"ABILENE, TX",10
"Suddenlink",2016-04-24,"ABILENE, TX",14
"Suddenlink",2016-05-01,"ABILENE, TX",9
"Suddenlink",2016-05-08,"ABILENE, TX",20
"Suddenlink",2016-05-15,"ABILENE, TX",15
"Suddenlink",2016-05-22,"ABILENE, TX",20
"Suddenlink",2016-05-29,"ABILENE, TX",8
"Suddenlink",2016-06-05,"ABILENE, TX",18
"Suddenlink",2016-06-12,"ABILENE, TX",19
"Suddenlink",2016-06-19,"ABILENE, TX",27
"Suddenlink",2016-06-26,"ABILENE, TX",26
"Suddenlink",2016-07-03,"ABILENE, TX",10
"Suddenlink",2016-07-10,"ABILENE, TX",13
"Suddenlink",2016-07-17,"ABILENE, TX",17
"Suddenlink",2016-07-24,"ABILENE, TX",18
"Suddenlink",2016-07-31,"ABILENE, TX",15
"Suddenlink",2016-08-07,"ABILENE, TX",16
"Suddenlink",2016-08-14,"ABILENE, TX",18
"Suddenlink",2016-08-21,"ABILENE, TX",23
"Suddenlink",2016-08-28,"ABILENE, TX",12
"Suddenlink",2016-09-04,"ABILENE, TX",14
"Suddenlink",2016-09-11,"ABILENE, TX",39
"Suddenlink",2016-09-18,"ABILENE, TX",28
"Suddenlink",2016-09-25,"ABILENE, TX",16
