"dma","non_sub","subs","tv_insertable_ue"
"ABILENE, TX",5320,43776,19984.8344317949
"ALEXANDRIA, LA",4734,42504,26808.3992671795
"ALL OTHER SUDDENLINK DMA TOTAL",18695,120518,58028.1509174359
"AMARILLO, TX",9090,65625,39283.4461538462
"AUSTIN, TX",4751,62073,24379.3252748718
"BLUEFIELD-BECKLEY, WV",5780,59173,37276.9772897436
"CHARLESTON-HUNTINGTON, WV",12663,120630,77445.5516482051
"DALLAS, TX",14579,89563,14668.271794359
"EUREKA, CA",2752,39512,20002.6945051282
"GREENVILLE-NEW BERN, NC",7030,91172,47121.0131861538
"HOUSTON, TX",10448,99509,37565.6586082051
"JONESBORO, AR",3753,32549,15396.8644687179
"LAKE CHARLES, LA",5623,40570,30334.4329671795
"LITTLE ROCK, AR",7555,65852,35241.3318682051
"LUBBOCK, TX",9349,67188,38557.3684979487
"MONROE-ELDORADO, LA",3389,24751,13857.4578753846
"NEW YORK, NY",219727,2924048,2041377.54884615
"ODESSA-MIDLAND, TX",7693,37351,20994.0446882051
"OKLAHOMA CITY, OK",7632,49870,25443.4468866667
"PARKERSBERG, WV",3946,39253,24969.3282051282
"PHOENIX, AZ",9984,103391,44690.4366302564
"RALEIGH-DURHAM, NC",2874,26553,17519.7633697436
"SAN ANGELO, TX",3524,35680,22376.2769225641
"SHREVEPORT, LA",6312,49056,26639.2263733333
"SPRINGFIELD, MO",7039,51285,26164.158974359
"ST JOSEPH, MO",2581,23872,12373.7897430769
"TULSA, OK",2298,16560,10970.758974359
"TYLER-LONGVIEW, TX",13803,105583,56304.5501835897
"VICTORIA, TX",2257,21703,13027.2483512821
"WACO-TEMPLE, TX",5191,76460,33838.8805866667
