period,DMA,hh_cnt,avg_tot_bill_per_hh,avg_video_bill_per_hh,avg_ov_bill_per_hh,avg_ool_bill_per_hh
2017-12-31,"ABILENE, TX",7,116.73,17.21,1.71,97.81
2017-12-31,"ALEXANDRIA, LA",5,147.51,6.0,18.56,122.95
2017-12-31,"AMARILLO, TX",14,107.55,9.03,2.85,95.67
2017-12-31,"AUSTIN, TX",6,192.15,24.8,47.4,119.94
2017-12-31,"BLUEFIELD-BECKLEY, WV",11,110.49,5.2,11.79,93.5
2017-12-31,"CHARLESTON-HUNTINGTON, WV",29,112.51,10.06,9.81,92.64
2017-12-31,"CLARKSBURG-WESTON, WV",1,144.95,0.0,0.0,144.95
2017-12-31,"COLUMBUS, OH",1,84.95,0.0,0.0,84.95
2017-12-31,"DALLAS, TX",16,144.69,6.38,8.92,129.39
2017-12-31,"EUREKA, CA",10,136.56,23.57,18.68,94.3
2017-12-31,"GREENVILLE-NEW BERN, NC",13,116.34,18.34,18.89,79.12
2017-12-31,"GREENWOOD-GREENVILLE, MS",5,106.49,12.58,25.94,67.96
2017-12-31,"HOUSTON, TX",12,111.4,9.98,14.8,86.63
2017-12-31,"JONESBORO, AR",8,89.69,0.0,3.49,86.2
2017-12-31,"KANSAS CITY, MO",3,103.44,0.0,3.99,99.45
2017-12-31,"LAKE CHARLES, LA",14,164.88,51.62,21.52,91.74
2017-12-31,"LITTLE ROCK, AR",11,110.0,18.88,12.33,78.78
2017-12-31,"LUBBOCK, TX",13,152.25,17.8,32.42,102.03
2017-12-31,"MEMPHIS, TN",1,94.95,0.0,0.0,94.95
2017-12-31,"MONROE-ELDORADO, LA",7,142.68,9.49,14.69,118.51
2017-12-31,"NEW YORK, NY",490,116.45,16.08,33.53,66.84
2017-12-31,"ODESSA-MIDLAND, TX",16,119.6,8.9,9.59,101.11
2017-12-31,"OKLAHOMA CITY, OK",14,125.07,14.78,7.99,102.31
2017-12-31,"PALM SPRINGS, CA",2,161.43,0.0,13.97,147.45
2017-12-31,"PARKERSBERG, WV",2,35.42,0.0,14.45,20.98
2017-12-31,"PHOENIX, AZ",22,104.83,4.27,17.65,82.92
2017-12-31,"RALEIGH-DURHAM, NC",5,130.92,12.63,32.33,85.96
2017-12-31,"SACRAMENTO, CA",5,114.93,10.59,14.37,89.96
2017-12-31,"SAN ANGELO, TX",7,128.46,0.0,24.95,103.51
2017-12-31,"SHREVEPORT, LA",10,121.46,21.02,5.78,94.65
2017-12-31,"SPOKANE, WA",1,701.28,701.28,0.0,0.0
2017-12-31,"SPRINGFIELD, MO",12,104.83,18.74,22.79,63.3
2017-12-31,"ST JOSEPH, MO",5,83.53,0.0,12.97,70.56
2017-12-31,"TULSA, OK",3,86.6,0.0,13.3,73.3
2017-12-31,"TYLER-LONGVIEW, TX",21,116.94,11.54,12.82,92.58
2017-12-31,"VICTORIA, TX",4,146.65,50.98,23.2,72.46
2017-12-31,"WACO-TEMPLE, TX",13,177.74,63.88,6.22,107.64
2017-12-31,"WICHITA FALLS, TX - LAWTON, OK",2,113.45,0.0,0.0,113.45
2018-01-07,"ABILENE, TX",8,203.83,67.67,21.2,114.96
2018-01-07,"ALEXANDRIA, LA",12,102.11,8.49,17.32,76.3
2018-01-07,"AMARILLO, TX",21,197.35,26.49,17.2,153.67
2018-01-07,"AUSTIN, TX",17,132.16,3.71,17.91,110.54
2018-01-07,"BLUEFIELD-BECKLEY, WV",18,170.38,7.07,38.75,124.56
2018-01-07,"CHARLESTON-HUNTINGTON, WV",32,131.39,13.62,12.07,105.71
2018-01-07,"CLARKSBURG-WESTON, WV",1,94.95,0.0,0.0,94.95
2018-01-07,"DALLAS, TX",25,123.22,8.87,3.83,110.51
2018-01-07,"EUREKA, CA",2,55.45,0.0,7.97,47.48
2018-01-07,"GREENVILLE-NEW BERN, NC",25,115.85,7.18,19.71,88.96
2018-01-07,"GREENWOOD-GREENVILLE, MS",3,181.83,36.92,21.62,123.28
2018-01-07,"HOUSTON, TX",13,107.2,6.2,17.57,83.42
2018-01-07,"JONESBORO, AR",11,94.12,7.81,12.26,74.05
2018-01-07,"JOPLIN, MO - PITTSBURG, KS",1,94.95,0.0,0.0,94.95
2018-01-07,"KANSAS CITY, MO",1,144.95,0.0,0.0,144.95
2018-01-07,"LAFAYETTE, LA",1,79.95,0.0,0.0,79.95
2018-01-07,"LAKE CHARLES, LA",25,118.36,5.31,24.97,88.08
2018-01-07,"LITTLE ROCK, AR",15,116.53,12.63,10.58,93.33
2018-01-07,"LUBBOCK, TX",21,112.25,5.02,5.32,101.9
2018-01-07,"MONROE-ELDORADO, LA",5,113.4,33.66,9.77,69.96
2018-01-07,"NEW YORK, NY",1043,116.34,18.06,30.73,67.56
2018-01-07,"ODESSA-MIDLAND, TX",27,173.23,32.77,4.03,136.44
2018-01-07,"OKLAHOMA CITY, OK",11,149.22,17.57,12.16,119.49
2018-01-07,"PALM SPRINGS, CA",2,109.17,33.24,5.98,69.95
2018-01-07,"PARKERSBERG, WV",10,145.65,21.23,14.57,109.85
2018-01-07,"PHOENIX, AZ",21,137.04,10.0,12.28,114.76
2018-01-07,"RALEIGH-DURHAM, NC",3,176.65,21.04,3.99,151.62
2018-01-07,"RENO, NV",1,17.48,0.0,17.48,0.0
2018-01-07,"SACRAMENTO, CA",6,190.77,41.19,17.13,132.44
2018-01-07,"SAN ANGELO, TX",6,163.66,46.24,13.3,104.12
2018-01-07,"SHREVEPORT, LA",15,133.36,35.06,25.88,72.43
2018-01-07,"SPOKANE, WA",1,84.95,0.0,0.0,84.95
2018-01-07,"SPRINGFIELD, MO",23,253.29,92.93,25.45,134.91
2018-01-07,"ST JOSEPH, MO",3,80.95,0.0,0.0,80.95
2018-01-07,"TULSA, OK",4,104.13,0.0,37.92,66.21
2018-01-07,"TYLER-LONGVIEW, TX",36,137.45,20.51,17.24,99.7
2018-01-07,"VICTORIA, TX",10,124.13,13.99,6.29,103.85
2018-01-07,"WACO-TEMPLE, TX",16,122.95,14.51,9.04,99.39
2018-01-07,"WICHITA FALLS, TX - LAWTON, OK",2,144.95,0.0,0.0,144.95
2018-01-14,"ABILENE, TX",13,125.37,10.77,17.97,96.64
2018-01-14,"ALEXANDRIA, LA",11,151.26,22.25,13.15,115.86
2018-01-14,"AMARILLO, TX",10,381.3,215.31,33.04,132.96
2018-01-14,"AUSTIN, TX",7,125.93,0.0,12.83,113.1
2018-01-14,"BLUEFIELD-BECKLEY, WV",21,132.5,6.44,24.15,101.91
2018-01-14,"CHARLESTON-HUNTINGTON, WV",13,168.2,19.21,29.87,119.12
2018-01-14,"CLARKSBURG-WESTON, WV",2,99.88,0.0,38.92,60.95
2018-01-14,"DALLAS, TX",23,128.41,6.62,15.75,106.04
2018-01-14,"EUREKA, CA",12,115.33,0.0,19.54,95.79
2018-01-14,"GREENVILLE-NEW BERN, NC",11,104.31,10.57,16.42,77.32
2018-01-14,"GREENWOOD-GREENVILLE, MS",2,94.95,0.0,0.0,94.95
2018-01-14,"HOUSTON, TX",10,139.73,18.98,2.79,117.95
2018-01-14,"JONESBORO, AR",10,61.66,0.0,9.79,51.87
2018-01-14,"JOPLIN, MO - PITTSBURG, KS",1,44.95,0.0,0.0,44.95
2018-01-14,"LAKE CHARLES, LA",13,151.97,8.38,50.48,93.12
2018-01-14,"LAS VEGAS, NV",1,94.95,0.0,0.0,94.95
2018-01-14,"LITTLE ROCK, AR",13,122.58,14.02,7.83,100.72
2018-01-14,"LUBBOCK, TX",21,178.2,33.84,11.07,133.29
2018-01-14,"MONROE-ELDORADO, LA",6,164.91,14.82,9.31,140.78
2018-01-14,"NEW YORK, NY",801,116.1,18.32,33.62,64.16
2018-01-14,"ODESSA-MIDLAND, TX",16,142.35,39.43,16.71,86.21
2018-01-14,"OKLAHOMA CITY, OK",13,119.78,4.86,9.71,105.22
2018-01-14,"PALM SPRINGS, CA",2,164.95,0.0,0.0,164.95
2018-01-14,"PARKERSBERG, WV",4,227.73,23.54,2.99,201.2
2018-01-14,"PHOENIX, AZ",21,118.56,7.81,1.95,108.81
2018-01-14,"RALEIGH-DURHAM, NC",4,98.21,17.53,6.98,73.7
2018-01-14,"SACRAMENTO, CA",3,87.95,0.0,0.0,87.95
2018-01-14,"SAN ANGELO, TX",5,118.5,0.0,25.55,92.95
2018-01-14,"SHREVEPORT, LA",15,110.85,0.0,15.96,94.89
2018-01-14,"SPOKANE, WA",1,89.95,0.0,0.0,89.95
2018-01-14,"SPRINGFIELD, MO",9,97.35,24.84,4.87,67.63
2018-01-14,"ST JOSEPH, MO",4,118.2,0.0,0.0,118.2
2018-01-14,"TULSA, OK",4,128.86,30.15,0.0,98.7
2018-01-14,"TYLER-LONGVIEW, TX",24,109.85,16.84,13.14,79.88
2018-01-14,"VICTORIA, TX",3,79.95,0.0,0.0,79.95
2018-01-14,"WACO-TEMPLE, TX",9,115.23,15.2,14.75,85.29
2018-01-14,"WICHITA FALLS, TX - LAWTON, OK",1,20.89,20.89,0.0,0.0
2018-01-21,"ABILENE, TX",12,181.18,20.49,6.15,154.53
2018-01-21,"ALEXANDRIA, LA",11,183.96,9.26,50.39,124.31
2018-01-21,"AMARILLO, TX",18,120.07,19.47,9.98,90.62
2018-01-21,"AUSTIN, TX",13,137.13,13.75,18.04,105.34
2018-01-21,"BLUEFIELD-BECKLEY, WV",13,114.64,4.94,10.52,99.18
2018-01-21,"CHARLESTON-HUNTINGTON, WV",33,124.89,10.78,9.64,104.47
2018-01-21,"CLARKSBURG-WESTON, WV",3,165.92,0.0,17.63,148.28
2018-01-21,"DALLAS, TX",14,154.24,16.16,5.99,132.09
2018-01-21,"EUREKA, CA",8,133.06,0.0,9.98,123.08
2018-01-21,"GREENVILLE-NEW BERN, NC",18,125.03,10.52,14.83,99.68
2018-01-21,"GREENWOOD-GREENVILLE, MS",7,155.18,8.99,21.24,124.95
2018-01-21,"HOUSTON, TX",19,135.23,10.93,13.45,110.85
2018-01-21,"JONESBORO, AR",10,101.0,21.8,15.78,63.42
2018-01-21,"JOPLIN, MO - PITTSBURG, KS",1,84.95,0.0,0.0,84.95
2018-01-21,"KANSAS CITY, MO",1,94.95,0.0,0.0,94.95
2018-01-21,"LAFAYETTE, LA",1,94.95,0.0,0.0,94.95
2018-01-21,"LAKE CHARLES, LA",15,215.79,19.82,23.48,172.49
2018-01-21,"LAS VEGAS, NV",1,134.95,0.0,0.0,134.95
2018-01-21,"LITTLE ROCK, AR",25,124.2,40.2,13.27,70.73
2018-01-21,"LOS ANGELES, CA",1,94.95,0.0,0.0,94.95
2018-01-21,"LUBBOCK, TX",30,159.15,30.22,14.77,114.16
2018-01-21,"MONROE-ELDORADO, LA",9,123.86,11.71,9.97,102.18
2018-01-21,"MONTEREY-SALINAS, CA",1,84.95,0.0,0.0,84.95
2018-01-21,"NEW YORK, NY",995,114.72,15.63,31.51,67.58
2018-01-21,"ODESSA-MIDLAND, TX",16,125.9,17.34,8.29,100.27
2018-01-21,"OKLAHOMA CITY, OK",14,118.68,9.8,2.85,106.02
2018-01-21,"PALM SPRINGS, CA",6,93.28,0.0,0.0,93.28
2018-01-21,"PARKERSBERG, WV",10,147.16,12.83,13.87,120.45
2018-01-21,"PHOENIX, AZ",24,137.19,32.0,3.15,102.04
2018-01-21,"RALEIGH-DURHAM, NC",8,123.46,6.64,8.73,108.09
2018-01-21,"RENO, NV",1,104.9,0.0,9.95,94.95
2018-01-21,"SACRAMENTO, CA",1,94.95,0.0,0.0,94.95
2018-01-21,"SAN ANGELO, TX",6,89.68,17.58,11.8,60.3
2018-01-21,"SHREVEPORT, LA",18,180.21,43.78,9.65,126.78
2018-01-21,"SPOKANE, WA",1,49.95,0.0,0.0,49.95
2018-01-21,"SPRINGFIELD, MO",24,136.22,8.03,10.23,117.96
2018-01-21,"ST JOSEPH, MO",6,88.58,0.0,13.8,74.78
2018-01-21,"TULSA, OK",4,92.69,0.0,13.97,78.71
2018-01-21,"TYLER-LONGVIEW, TX",26,104.76,7.55,10.09,87.11
2018-01-21,"VICTORIA, TX",7,114.15,9.21,6.42,98.53
2018-01-21,"WACO-TEMPLE, TX",7,216.96,10.02,5.27,201.67
2018-01-21,"WICHITA FALLS, TX - LAWTON, OK",2,152.06,102.09,0.0,49.98
2018-01-28,"ABILENE, TX",11,142.96,35.67,16.42,90.87
2018-01-28,"ALEXANDRIA, LA",15,118.86,10.99,7.25,100.62
2018-01-28,"AMARILLO, TX",22,130.58,25.7,11.7,93.18
2018-01-28,"AUSTIN, TX",14,381.86,137.29,27.51,217.05
2018-01-28,"BLUEFIELD-BECKLEY, WV",13,143.95,23.43,23.26,97.26
2018-01-28,"CHARLESTON-HUNTINGTON, WV",39,144.22,12.49,24.72,107.01
2018-01-28,"DALLAS, TX",15,124.62,10.35,5.32,108.95
2018-01-28,"EUREKA, CA",12,114.38,0.0,13.31,101.08
2018-01-28,"GREENVILLE-NEW BERN, NC",19,186.5,13.91,28.68,143.91
2018-01-28,"GREENWOOD-GREENVILLE, MS",5,109.91,43.76,11.18,54.97
2018-01-28,"HOUSTON, TX",18,132.97,23.89,8.43,100.65
2018-01-28,"JONESBORO, AR",13,98.97,20.6,9.17,69.2
2018-01-28,"JOPLIN, MO - PITTSBURG, KS",1,84.95,0.0,0.0,84.95
2018-01-28,"KANSAS CITY, MO",3,368.08,309.78,0.0,58.3
2018-01-28,"LAKE CHARLES, LA",17,118.27,20.42,5.46,92.39
2018-01-28,"LITTLE ROCK, AR",26,149.79,27.22,22.73,99.84
2018-01-28,"LOS ANGELES, CA",2,81.95,0.0,0.0,81.95
2018-01-28,"LUBBOCK, TX",16,147.58,22.59,8.73,116.26
2018-01-28,"MEMPHIS, TN",3,101.77,35.13,0.0,66.63
2018-01-28,"MONROE-ELDORADO, LA",8,164.42,26.4,25.57,112.45
2018-01-28,"NEW YORK, NY",954,123.53,21.32,34.87,67.34
2018-01-28,"ODESSA-MIDLAND, TX",19,178.7,36.78,13.81,128.11
2018-01-28,"OKLAHOMA CITY, OK",12,128.93,10.27,18.7,99.95
2018-01-28,"PALM SPRINGS, CA",4,92.45,0.0,0.0,92.45
2018-01-28,"PARKERSBERG, WV",7,177.99,24.33,11.55,142.11
2018-01-28,"PHOENIX, AZ",29,127.2,4.79,14.66,107.74
2018-01-28,"RALEIGH-DURHAM, NC",5,98.29,23.25,7.98,67.06
2018-01-28,"RENO, NV",1,109.95,0.0,0.0,109.95
2018-01-28,"SACRAMENTO, CA",7,95.79,7.57,9.69,78.53
2018-01-28,"SAN ANGELO, TX",8,147.16,12.87,17.46,116.83
2018-01-28,"SHREVEPORT, LA",17,100.58,6.41,10.68,83.49
2018-01-28,"SPRINGFIELD, MO",20,140.07,43.34,13.27,83.46
2018-01-28,"ST JOSEPH, MO",3,146.06,22.14,12.3,111.62
2018-01-28,"TULSA, OK",5,130.96,0.0,0.0,130.96
2018-01-28,"TYLER-LONGVIEW, TX",45,129.88,10.98,14.5,104.4
2018-01-28,"VICTORIA, TX",4,170.41,12.74,20.21,137.45
2018-01-28,"WACO-TEMPLE, TX",11,162.63,33.5,11.45,117.68
2018-01-28,"WICHITA FALLS, TX - LAWTON, OK",1,94.95,0.0,0.0,94.95
2018-02-04,"ABILENE, TX",13,192.79,4.08,8.75,179.96
2018-02-04,"ALEXANDRIA, LA",6,438.94,271.05,25.45,142.44
2018-02-04,"AMARILLO, TX",10,155.45,34.04,19.95,101.45
2018-02-04,"AUSTIN, TX",12,130.32,5.84,16.73,107.75
2018-02-04,"BLUEFIELD-BECKLEY, WV",12,158.02,17.69,18.04,122.29
2018-02-04,"CHARLESTON-HUNTINGTON, WV",26,151.52,14.29,13.97,123.26
2018-02-04,"DALLAS, TX",22,93.22,0.0,2.36,90.86
2018-02-04,"EUREKA, CA",8,114.3,7.87,13.91,92.52
2018-02-04,"GREENVILLE-NEW BERN, NC",20,111.41,8.26,20.61,82.54
2018-02-04,"GREENWOOD-GREENVILLE, MS",4,88.18,0.0,19.46,68.71
2018-02-04,"HOUSTON, TX",14,110.06,13.73,20.4,75.93
2018-02-04,"JONESBORO, AR",6,93.18,11.65,17.56,63.97
2018-02-04,"KANSAS CITY, MO",2,165.85,44.45,38.92,82.47
2018-02-04,"LAKE CHARLES, LA",17,108.35,14.1,20.5,73.75
2018-02-04,"LITTLE ROCK, AR",18,105.96,8.79,3.33,93.84
2018-02-04,"LOS ANGELES, CA",1,175.88,62.98,27.95,84.95
2018-02-04,"LUBBOCK, TX",15,153.37,15.9,18.03,119.45
2018-02-04,"MEMPHIS, TN",4,83.81,0.0,11.35,72.46
2018-02-04,"MONROE-ELDORADO, LA",3,63.62,0.0,18.63,44.98
2018-02-04,"NEW YORK, NY",902,113.23,16.19,35.02,62.02
2018-02-04,"ODESSA-MIDLAND, TX",13,143.14,25.15,2.26,115.73
2018-02-04,"OKLAHOMA CITY, OK",7,110.91,31.4,15.97,63.54
2018-02-04,"PARKERSBERG, WV",13,143.24,26.98,6.83,109.43
2018-02-04,"PHOENIX, AZ",31,104.17,2.26,13.1,88.81
2018-02-04,"RALEIGH-DURHAM, NC",7,102.68,9.02,7.99,85.67
2018-02-04,"RENO, NV",2,171.44,31.49,0.0,139.95
2018-02-04,"SACRAMENTO, CA",2,75.45,0.0,7.97,67.47
2018-02-04,"SAN ANGELO, TX",9,102.38,12.11,4.43,85.84
2018-02-04,"SHREVEPORT, LA",18,111.59,17.93,6.48,87.18
2018-02-04,"SPRINGFIELD, MO",14,160.6,36.7,13.58,110.31
2018-02-04,"ST JOSEPH, MO",4,97.45,0.0,0.0,97.45
2018-02-04,"TULSA, OK",6,159.4,12.27,37.18,109.95
2018-02-04,"TYLER-LONGVIEW, TX",39,133.48,19.16,12.03,102.29
2018-02-04,"VICTORIA, TX",7,144.22,20.57,5.41,118.24
2018-02-04,"WACO-TEMPLE, TX",17,143.27,43.67,3.29,96.31
2018-02-04,"WICHITA FALLS, TX - LAWTON, OK",2,88.03,55.55,0.0,32.48
2018-02-11,"ABILENE, TX",17,208.55,77.07,21.32,110.17
2018-02-11,"ALEXANDRIA, LA",12,132.2,20.15,15.14,96.91
2018-02-11,"AMARILLO, TX",19,287.48,144.66,10.24,132.59
2018-02-11,"AUSTIN, TX",5,188.11,16.83,30.33,140.95
2018-02-11,"BLUEFIELD-BECKLEY, WV",21,107.9,3.06,5.75,99.1
2018-02-11,"CHARLESTON-HUNTINGTON, WV",31,120.82,13.7,10.33,96.79
2018-02-11,"CLARKSBURG-WESTON, WV",3,149.95,0.0,0.0,149.95
2018-02-11,"DALLAS, TX",25,127.24,2.12,19.04,106.08
2018-02-11,"EUREKA, CA",14,123.44,0.0,5.99,117.46
2018-02-11,"GREENVILLE-NEW BERN, NC",15,120.63,16.17,8.78,95.69
2018-02-11,"GREENWOOD-GREENVILLE, MS",4,114.64,0.0,33.44,81.2
2018-02-11,"HOUSTON, TX",14,107.64,10.02,2.0,95.63
2018-02-11,"JONESBORO, AR",8,118.17,17.91,7.17,93.08
2018-02-11,"JOPLIN, MO - PITTSBURG, KS",2,81.43,0.0,13.97,67.45
2018-02-11,"KANSAS CITY, MO",1,104.95,0.0,0.0,104.95
2018-02-11,"LAKE CHARLES, LA",26,200.31,60.57,16.63,123.12
