"ds","holiday","country","year"
1995-01-01,"New Year's Day","US",1995
1995-01-02,"New Year's Day (Observed)","US",1995
1995-01-16,"Martin Luther King, Jr. Day","US",1995
1995-02-20,"Washington's Birthday","US",1995
1995-05-29,"Memorial Day","US",1995
1995-07-04,"Independence Day","US",1995
1995-09-04,"Labor Day","US",1995
1995-10-09,"Columbus Day","US",1995
1995-11-10,"Veterans Day (Observed)","US",1995
1995-11-11,"Veterans Day","US",1995
1995-11-23,"Thanksgiving","US",1995
1995-12-25,"Christmas Day","US",1995
1996-01-01,"New Year's Day","US",1996
1996-01-15,"Martin Luther King, Jr. Day","US",1996
1996-02-19,"Washington's Birthday","US",1996
1996-05-27,"Memorial Day","US",1996
1996-07-04,"Independence Day","US",1996
1996-09-02,"Labor Day","US",1996
1996-10-14,"Columbus Day","US",1996
1996-11-11,"Veterans Day","US",1996
1996-11-28,"Thanksgiving","US",1996
1996-12-25,"Christmas Day","US",1996
1997-01-01,"New Year's Day","US",1997
1997-01-20,"Martin Luther King, Jr. Day","US",1997
1997-02-17,"Washington's Birthday","US",1997
1997-05-26,"Memorial Day","US",1997
1997-07-04,"Independence Day","US",1997
1997-09-01,"Labor Day","US",1997
1997-10-13,"Columbus Day","US",1997
1997-11-11,"Veterans Day","US",1997
1997-11-27,"Thanksgiving","US",1997
1997-12-25,"Christmas Day","US",1997
1998-01-01,"New Year's Day","US",1998
1998-01-19,"Martin Luther King, Jr. Day","US",1998
1998-02-16,"Washington's Birthday","US",1998
1998-05-25,"Memorial Day","US",1998
1998-07-03,"Independence Day (Observed)","US",1998
1998-07-04,"Independence Day","US",1998
1998-09-07,"Labor Day","US",1998
1998-10-12,"Columbus Day","US",1998
1998-11-11,"Veterans Day","US",1998
1998-11-26,"Thanksgiving","US",1998
1998-12-25,"Christmas Day","US",1998
1999-01-01,"New Year's Day","US",1999
1999-01-18,"Martin Luther King, Jr. Day","US",1999
1999-02-15,"Washington's Birthday","US",1999
1999-05-31,"Memorial Day","US",1999
1999-07-04,"Independence Day","US",1999
1999-07-05,"Independence Day (Observed)","US",1999
1999-09-06,"Labor Day","US",1999
1999-10-11,"Columbus Day","US",1999
1999-11-11,"Veterans Day","US",1999
1999-11-25,"Thanksgiving","US",1999
1999-12-24,"Christmas Day (Observed)","US",1999
1999-12-25,"Christmas Day","US",1999
1999-12-31,"New Year's Day (Observed)","US",1999
2000-01-01,"New Year's Day","US",2000
2000-01-17,"Martin Luther King, Jr. Day","US",2000
2000-02-21,"Washington's Birthday","US",2000
2000-05-29,"Memorial Day","US",2000
2000-07-04,"Independence Day","US",2000
2000-09-04,"Labor Day","US",2000
2000-10-09,"Columbus Day","US",2000
2000-11-10,"Veterans Day (Observed)","US",2000
2000-11-11,"Veterans Day","US",2000
2000-11-23,"Thanksgiving","US",2000
2000-12-25,"Christmas Day","US",2000
2001-01-01,"New Year's Day","US",2001
2001-01-15,"Martin Luther King, Jr. Day","US",2001
2001-02-19,"Washington's Birthday","US",2001
2001-05-28,"Memorial Day","US",2001
2001-07-04,"Independence Day","US",2001
2001-09-03,"Labor Day","US",2001
2001-10-08,"Columbus Day","US",2001
2001-11-11,"Veterans Day","US",2001
2001-11-12,"Veterans Day (Observed)","US",2001
2001-11-22,"Thanksgiving","US",2001
2001-12-25,"Christmas Day","US",2001
2002-01-01,"New Year's Day","US",2002
2002-01-21,"Martin Luther King, Jr. Day","US",2002
2002-02-18,"Washington's Birthday","US",2002
2002-05-27,"Memorial Day","US",2002
2002-07-04,"Independence Day","US",2002
2002-09-02,"Labor Day","US",2002
2002-10-14,"Columbus Day","US",2002
2002-11-11,"Veterans Day","US",2002
2002-11-28,"Thanksgiving","US",2002
2002-12-25,"Christmas Day","US",2002
2003-01-01,"New Year's Day","US",2003
2003-01-20,"Martin Luther King, Jr. Day","US",2003
2003-02-17,"Washington's Birthday","US",2003
2003-05-26,"Memorial Day","US",2003
2003-07-04,"Independence Day","US",2003
2003-09-01,"Labor Day","US",2003
2003-10-13,"Columbus Day","US",2003
2003-11-11,"Veterans Day","US",2003
2003-11-27,"Thanksgiving","US",2003
2003-12-25,"Christmas Day","US",2003
2004-01-01,"New Year's Day","US",2004
2004-01-19,"Martin Luther King, Jr. Day","US",2004
2004-02-16,"Washington's Birthday","US",2004
2004-05-31,"Memorial Day","US",2004
2004-07-04,"Independence Day","US",2004
2004-07-05,"Independence Day (Observed)","US",2004
2004-09-06,"Labor Day","US",2004
2004-10-11,"Columbus Day","US",2004
2004-11-11,"Veterans Day","US",2004
2004-11-25,"Thanksgiving","US",2004
2004-12-24,"Christmas Day (Observed)","US",2004
2004-12-25,"Christmas Day","US",2004
2004-12-31,"New Year's Day (Observed)","US",2004
2005-01-01,"New Year's Day","US",2005
2005-01-17,"Martin Luther King, Jr. Day","US",2005
2005-02-21,"Washington's Birthday","US",2005
2005-05-30,"Memorial Day","US",2005
2005-07-04,"Independence Day","US",2005
2005-09-05,"Labor Day","US",2005
2005-10-10,"Columbus Day","US",2005
2005-11-11,"Veterans Day","US",2005
2005-11-24,"Thanksgiving","US",2005
2005-12-25,"Christmas Day","US",2005
2005-12-26,"Christmas Day (Observed)","US",2005
2006-01-01,"New Year's Day","US",2006
2006-01-02,"New Year's Day (Observed)","US",2006
2006-01-16,"Martin Luther King, Jr. Day","US",2006
2006-02-20,"Washington's Birthday","US",2006
2006-05-29,"Memorial Day","US",2006
2006-07-04,"Independence Day","US",2006
2006-09-04,"Labor Day","US",2006
2006-10-09,"Columbus Day","US",2006
2006-11-10,"Veterans Day (Observed)","US",2006
2006-11-11,"Veterans Day","US",2006
2006-11-23,"Thanksgiving","US",2006
2006-12-25,"Christmas Day","US",2006
2007-01-01,"New Year's Day","US",2007
2007-01-15,"Martin Luther King, Jr. Day","US",2007
2007-02-19,"Washington's Birthday","US",2007
2007-05-28,"Memorial Day","US",2007
2007-07-04,"Independence Day","US",2007
2007-09-03,"Labor Day","US",2007
2007-10-08,"Columbus Day","US",2007
2007-11-11,"Veterans Day","US",2007
2007-11-12,"Veterans Day (Observed)","US",2007
2007-11-22,"Thanksgiving","US",2007
2007-12-25,"Christmas Day","US",2007
2008-01-01,"New Year's Day","US",2008
2008-01-21,"Martin Luther King, Jr. Day","US",2008
2008-02-18,"Washington's Birthday","US",2008
2008-05-26,"Memorial Day","US",2008
2008-07-04,"Independence Day","US",2008
2008-09-01,"Labor Day","US",2008
2008-10-13,"Columbus Day","US",2008
2008-11-11,"Veterans Day","US",2008
2008-11-27,"Thanksgiving","US",2008
2008-12-25,"Christmas Day","US",2008
2009-01-01,"New Year's Day","US",2009
2009-01-19,"Martin Luther King, Jr. Day","US",2009
2009-02-16,"Washington's Birthday","US",2009
2009-05-25,"Memorial Day","US",2009
2009-07-03,"Independence Day (Observed)","US",2009
2009-07-04,"Independence Day","US",2009
2009-09-07,"Labor Day","US",2009
2009-10-12,"Columbus Day","US",2009
2009-11-11,"Veterans Day","US",2009
2009-11-26,"Thanksgiving","US",2009
2009-12-25,"Christmas Day","US",2009
2010-01-01,"New Year's Day","US",2010
2010-01-18,"Martin Luther King, Jr. Day","US",2010
2010-02-15,"Washington's Birthday","US",2010
2010-05-31,"Memorial Day","US",2010
2010-07-04,"Independence Day","US",2010
2010-07-05,"Independence Day (Observed)","US",2010
2010-09-06,"Labor Day","US",2010
2010-10-11,"Columbus Day","US",2010
2010-11-11,"Veterans Day","US",2010
2010-11-25,"Thanksgiving","US",2010
2010-12-24,"Christmas Day (Observed)","US",2010
2010-12-25,"Christmas Day","US",2010
2010-12-31,"New Year's Day (Observed)","US",2010
2011-01-01,"New Year's Day","US",2011
2011-01-17,"Martin Luther King, Jr. Day","US",2011
2011-02-21,"Washington's Birthday","US",2011
2011-05-30,"Memorial Day","US",2011
2011-07-04,"Independence Day","US",2011
2011-09-05,"Labor Day","US",2011
2011-10-10,"Columbus Day","US",2011
2011-11-11,"Veterans Day","US",2011
2011-11-24,"Thanksgiving","US",2011
2011-12-25,"Christmas Day","US",2011
2011-12-26,"Christmas Day (Observed)","US",2011
2012-01-01,"New Year's Day","US",2012
2012-01-02,"New Year's Day (Observed)","US",2012
2012-01-16,"Martin Luther King, Jr. Day","US",2012
2012-02-20,"Washington's Birthday","US",2012
2012-05-28,"Memorial Day","US",2012
2012-07-04,"Independence Day","US",2012
2012-09-03,"Labor Day","US",2012
2012-10-08,"Columbus Day","US",2012
2012-11-11,"Veterans Day","US",2012
2012-11-12,"Veterans Day (Observed)","US",2012
2012-11-22,"Thanksgiving","US",2012
2012-12-25,"Christmas Day","US",2012
2013-01-01,"New Year's Day","US",2013
2013-01-21,"Martin Luther King, Jr. Day","US",2013
2013-02-18,"Washington's Birthday","US",2013
2013-05-27,"Memorial Day","US",2013
2013-07-04,"Independence Day","US",2013
2013-09-02,"Labor Day","US",2013
2013-10-14,"Columbus Day","US",2013
2013-11-11,"Veterans Day","US",2013
2013-11-28,"Thanksgiving","US",2013
2013-12-25,"Christmas Day","US",2013
2014-01-01,"New Year's Day","US",2014
2014-01-20,"Martin Luther King, Jr. Day","US",2014
2014-02-17,"Washington's Birthday","US",2014
2014-05-26,"Memorial Day","US",2014
2014-07-04,"Independence Day","US",2014
