period,DMA,hh_cnt,avg_tot_bill_per_hh,avg_video_bill_per_hh,avg_ov_bill_per_hh,avg_ool_bill_per_hh
2017-12-31,"ABILENE, TX",7.0,116.73,17.21,1.71,97.81
2017-12-31,"ALEXANDRIA, LA",5.0,147.51,6.0,18.56,122.95
2017-12-31,"AMARILLO, TX",14.0,107.55,9.03,2.85,95.67
2017-12-31,"AUSTIN, TX",6.0,192.14,24.8,47.4,119.94
2017-12-31,"BLUEFIELD-BECKLEY, WV",11.0,110.49,5.2,11.79,93.5
2017-12-31,"CHARLESTON-HUNTINGTON, WV",29.0,112.51,10.06,9.81,92.64
2017-12-31,"CLARKSBURG-WESTON, WV",1.0,144.95,0.0,0.0,144.95
2017-12-31,"CLEVELAND, OH",0.0,0.0,0.0,0.0,0.0
2017-12-31,"COLUMBIA-JEFFERSON CITY, MO",0.0,0.0,0.0,0.0,0.0
2017-12-31,"COLUMBUS, OH",1.0,84.95,0.0,0.0,84.95
2017-12-31,"DALLAS, TX",16.0,144.69,6.38,8.92,129.39
2017-12-31,"EUREKA, CA",10.0,136.56,23.57,18.68,94.31
2017-12-31,"FRESNO-VISALIA, CA",0.0,0.0,0.0,0.0,0.0
2017-12-31,"FT SMITH, AR",0.0,0.0,0.0,0.0,0.0
2017-12-31,"GREENVILLE-NEW BERN, NC",13.0,116.34,18.34,18.89,79.12
2017-12-31,"GREENWOOD-GREENVILLE, MS",5.0,106.49,12.58,25.94,67.96
2017-12-31,"HOUSTON, TX",12.0,111.4,9.98,14.8,86.63
2017-12-31,"JONESBORO, AR",8.0,89.69,0.0,3.49,86.2
2017-12-31,"JOPLIN, MO - PITTSBURG, KS",0.0,0.0,0.0,0.0,0.0
2017-12-31,"KANSAS CITY, MO",3.0,103.44,0.0,3.99,99.45
2017-12-31,"LAFAYETTE, LA",0.0,0.0,0.0,0.0,0.0
2017-12-31,"LAKE CHARLES, LA",14.0,164.88,51.62,21.52,91.74
2017-12-31,"LAS VEGAS, NV",0.0,0.0,0.0,0.0,0.0
2017-12-31,"LITTLE ROCK, AR",11.0,110.0,18.88,12.33,78.78
2017-12-31,"LOS ANGELES, CA",0.0,0.0,0.0,0.0,0.0
2017-12-31,"LUBBOCK, TX",13.0,152.25,17.8,32.42,102.03
2017-12-31,"MEMPHIS, TN",1.0,94.95,0.0,0.0,94.95
2017-12-31,"MONROE-ELDORADO, LA",7.0,142.68,9.49,14.69,118.51
2017-12-31,"MONTEREY-SALINAS, CA",0.0,0.0,0.0,0.0,0.0
2017-12-31,"NEW YORK, NY",488.0,116.45,16.08,33.53,66.84
2017-12-31,"ODESSA-MIDLAND, TX",16.0,119.6,8.9,9.59,101.11
2017-12-31,"OKLAHOMA CITY, OK",14.0,125.07,14.78,7.99,102.31
2017-12-31,"PALM SPRINGS, CA",2.0,161.43,0.0,13.97,147.45
2017-12-31,"PARKERSBERG, WV",2.0,35.42,0.0,14.45,20.98
2017-12-31,"PHOENIX, AZ",22.0,104.83,4.27,17.65,82.92
2017-12-31,"RALEIGH-DURHAM, NC",5.0,130.92,12.63,32.33,85.96
2017-12-31,"RENO, NV",0.0,0.0,0.0,0.0,0.0
2017-12-31,"SACRAMENTO, CA",5.0,114.93,10.59,14.37,89.96
2017-12-31,"SAN ANGELO, TX",7.0,128.46,0.0,24.95,103.51
2017-12-31,"SAN ANTONIO, TX",0.0,0.0,0.0,0.0,0.0
2017-12-31,"SHERMAN-ADA, OK",0.0,0.0,0.0,0.0,0.0
2017-12-31,"SHREVEPORT, LA",10.0,121.46,21.02,5.78,94.66
2017-12-31,"SPOKANE, WA",1.0,701.28,701.28,0.0,0.0
2017-12-31,"SPRINGFIELD, MO",12.0,104.83,18.74,22.79,63.3
2017-12-31,"ST JOSEPH, MO",5.0,83.53,0.0,12.97,70.56
2017-12-31,"TULSA, OK",3.0,86.6,0.0,13.3,73.3
2017-12-31,"TYLER-LONGVIEW, TX",21.0,116.94,11.54,12.82,92.58
2017-12-31,"VICTORIA, TX",4.0,146.65,50.98,23.2,72.46
2017-12-31,"WACO-TEMPLE, TX",13.0,177.74,63.88,6.22,107.64
2017-12-31,"WICHITA FALLS, TX - LAWTON, OK",2.0,113.45,0.0,0.0,113.45
2017-12-31,"WICHITA-HUTCHINSON, KS",0.0,0.0,0.0,0.0,0.0
2018-01-07,"ABILENE, TX",8.0,203.83,67.67,21.2,114.96
2018-01-07,"ALEXANDRIA, LA",12.0,102.11,8.49,17.32,76.3
2018-01-07,"AMARILLO, TX",21.0,197.35,26.49,17.2,153.67
2018-01-07,"AUSTIN, TX",17.0,132.16,3.71,17.91,110.54
2018-01-07,"BLUEFIELD-BECKLEY, WV",18.0,170.38,7.07,38.75,124.56
2018-01-07,"CHARLESTON-HUNTINGTON, WV",32.0,131.39,13.62,12.07,105.71
2018-01-07,"CLARKSBURG-WESTON, WV",1.0,94.95,0.0,0.0,94.95
2018-01-07,"CLEVELAND, OH",0.0,0.0,0.0,0.0,0.0
2018-01-07,"COLUMBIA-JEFFERSON CITY, MO",0.0,0.0,0.0,0.0,0.0
2018-01-07,"COLUMBUS, OH",0.0,0.0,0.0,0.0,0.0
2018-01-07,"DALLAS, TX",25.0,123.22,8.87,3.83,110.51
2018-01-07,"EUREKA, CA",2.0,55.45,0.0,7.97,47.48
2018-01-07,"FRESNO-VISALIA, CA",0.0,0.0,0.0,0.0,0.0
2018-01-07,"FT SMITH, AR",0.0,0.0,0.0,0.0,0.0
2018-01-07,"GREENVILLE-NEW BERN, NC",25.0,115.85,7.18,19.71,88.96
2018-01-07,"GREENWOOD-GREENVILLE, MS",3.0,181.83,36.92,21.62,123.28
2018-01-07,"HOUSTON, TX",13.0,107.2,6.2,17.57,83.42
2018-01-07,"JONESBORO, AR",11.0,94.12,7.81,12.26,74.05
2018-01-07,"JOPLIN, MO - PITTSBURG, KS",1.0,94.95,0.0,0.0,94.95
2018-01-07,"KANSAS CITY, MO",1.0,144.95,0.0,0.0,144.95
2018-01-07,"LAFAYETTE, LA",1.0,79.95,0.0,0.0,79.95
2018-01-07,"LAKE CHARLES, LA",25.0,118.36,5.31,24.97,88.08
2018-01-07,"LAS VEGAS, NV",0.0,0.0,0.0,0.0,0.0
2018-01-07,"LITTLE ROCK, AR",15.0,116.53,12.63,10.58,93.33
2018-01-07,"LOS ANGELES, CA",0.0,0.0,0.0,0.0,0.0
2018-01-07,"LUBBOCK, TX",21.0,112.25,5.02,5.32,101.9
2018-01-07,"MEMPHIS, TN",0.0,0.0,0.0,0.0,0.0
2018-01-07,"MONROE-ELDORADO, LA",5.0,113.4,33.66,9.77,69.96
2018-01-07,"MONTEREY-SALINAS, CA",0.0,0.0,0.0,0.0,0.0
2018-01-07,"NEW YORK, NY",1039.0,116.34,18.06,30.73,67.56
2018-01-07,"ODESSA-MIDLAND, TX",27.0,173.23,32.77,4.03,136.44
2018-01-07,"OKLAHOMA CITY, OK",11.0,149.22,17.57,12.16,119.49
2018-01-07,"PALM SPRINGS, CA",2.0,109.17,33.24,5.98,69.95
2018-01-07,"PARKERSBERG, WV",10.0,145.65,21.23,14.57,109.85
2018-01-07,"PHOENIX, AZ",21.0,137.04,10.0,12.28,114.76
2018-01-07,"RALEIGH-DURHAM, NC",3.0,176.65,21.04,3.99,151.62
2018-01-07,"RENO, NV",1.0,17.48,0.0,17.48,0.0
2018-01-07,"SACRAMENTO, CA",6.0,190.77,41.19,17.13,132.44
2018-01-07,"SAN ANGELO, TX",6.0,163.66,46.24,13.3,104.12
2018-01-07,"SAN ANTONIO, TX",0.0,0.0,0.0,0.0,0.0
2018-01-07,"SHERMAN-ADA, OK",0.0,0.0,0.0,0.0,0.0
2018-01-07,"SHREVEPORT, LA",15.0,133.36,35.06,25.88,72.43
2018-01-07,"SPOKANE, WA",1.0,84.95,0.0,0.0,84.95
2018-01-07,"SPRINGFIELD, MO",23.0,253.29,92.93,25.45,134.91
2018-01-07,"ST JOSEPH, MO",3.0,80.95,0.0,0.0,80.95
2018-01-07,"TULSA, OK",4.0,104.13,0.0,37.92,66.21
2018-01-07,"TYLER-LONGVIEW, TX",36.0,137.45,20.51,17.24,99.7
2018-01-07,"VICTORIA, TX",10.0,124.13,13.99,6.28,103.85
2018-01-07,"WACO-TEMPLE, TX",16.0,122.95,14.51,9.04,99.39
2018-01-07,"WICHITA FALLS, TX - LAWTON, OK",2.0,144.95,0.0,0.0,144.95
2018-01-07,"WICHITA-HUTCHINSON, KS",0.0,0.0,0.0,0.0,0.0
2018-01-14,"ABILENE, TX",13.0,125.37,10.77,17.97,96.64
2018-01-14,"ALEXANDRIA, LA",11.0,151.26,22.25,13.15,115.86
2018-01-14,"AMARILLO, TX",10.0,381.3,215.31,33.04,132.95
2018-01-14,"AUSTIN, TX",7.0,125.93,0.0,12.83,113.1
2018-01-14,"BLUEFIELD-BECKLEY, WV",21.0,132.5,6.44,24.15,101.91
2018-01-14,"CHARLESTON-HUNTINGTON, WV",13.0,168.2,19.21,29.87,119.12
2018-01-14,"CLARKSBURG-WESTON, WV",2.0,99.88,0.0,38.92,60.95
2018-01-14,"CLEVELAND, OH",0.0,0.0,0.0,0.0,0.0
2018-01-14,"COLUMBIA-JEFFERSON CITY, MO",0.0,0.0,0.0,0.0,0.0
2018-01-14,"COLUMBUS, OH",0.0,0.0,0.0,0.0,0.0
2018-01-14,"DALLAS, TX",23.0,128.41,6.62,15.75,106.04
2018-01-14,"EUREKA, CA",12.0,115.33,0.0,19.54,95.79
2018-01-14,"FRESNO-VISALIA, CA",0.0,0.0,0.0,0.0,0.0
2018-01-14,"FT SMITH, AR",0.0,0.0,0.0,0.0,0.0
2018-01-14,"GREENVILLE-NEW BERN, NC",11.0,104.31,10.57,16.42,77.32
2018-01-14,"GREENWOOD-GREENVILLE, MS",2.0,94.95,0.0,0.0,94.95
2018-01-14,"HOUSTON, TX",10.0,139.73,18.98,2.79,117.96
2018-01-14,"JONESBORO, AR",10.0,61.66,0.0,9.79,51.87
2018-01-14,"JOPLIN, MO - PITTSBURG, KS",1.0,44.95,0.0,0.0,44.95
2018-01-14,"KANSAS CITY, MO",0.0,0.0,0.0,0.0,0.0
2018-01-14,"LAFAYETTE, LA",0.0,0.0,0.0,0.0,0.0
2018-01-14,"LAKE CHARLES, LA",13.0,151.97,8.38,50.48,93.12
2018-01-14,"LAS VEGAS, NV",1.0,94.95,0.0,0.0,94.95
2018-01-14,"LITTLE ROCK, AR",13.0,122.58,14.02,7.83,100.72
2018-01-14,"LOS ANGELES, CA",0.0,0.0,0.0,0.0,0.0
2018-01-14,"LUBBOCK, TX",21.0,178.2,33.84,11.07,133.29
2018-01-14,"MEMPHIS, TN",0.0,0.0,0.0,0.0,0.0
2018-01-14,"MONROE-ELDORADO, LA",6.0,164.91,14.82,9.31,140.78
2018-01-14,"MONTEREY-SALINAS, CA",0.0,0.0,0.0,0.0,0.0
2018-01-14,"NEW YORK, NY",799.0,116.1,18.32,33.62,64.16
2018-01-14,"ODESSA-MIDLAND, TX",16.0,142.35,39.43,16.71,86.21
2018-01-14,"OKLAHOMA CITY, OK",13.0,119.78,4.86,9.71,105.22
2018-01-14,"PALM SPRINGS, CA",2.0,164.95,0.0,0.0,164.95
2018-01-14,"PARKERSBERG, WV",4.0,227.73,23.54,2.99,201.2
2018-01-14,"PHOENIX, AZ",21.0,118.56,7.81,1.95,108.81
2018-01-14,"RALEIGH-DURHAM, NC",4.0,98.21,17.53,6.98,73.7
2018-01-14,"RENO, NV",0.0,0.0,0.0,0.0,0.0
2018-01-14,"SACRAMENTO, CA",3.0,87.95,0.0,0.0,87.95
2018-01-14,"SAN ANGELO, TX",5.0,118.5,0.0,25.55,92.95
2018-01-14,"SAN ANTONIO, TX",0.0,0.0,0.0,0.0,0.0
2018-01-14,"SHERMAN-ADA, OK",0.0,0.0,0.0,0.0,0.0
2018-01-14,"SHREVEPORT, LA",15.0,110.85,0.0,15.96,94.89
2018-01-14,"SPOKANE, WA",1.0,89.95,0.0,0.0,89.95
2018-01-14,"SPRINGFIELD, MO",9.0,97.35,24.84,4.87,67.63
2018-01-14,"ST JOSEPH, MO",4.0,118.2,0.0,0.0,118.2
2018-01-14,"TULSA, OK",4.0,128.86,30.15,0.0,98.7
2018-01-14,"TYLER-LONGVIEW, TX",24.0,109.85,16.84,13.14,79.88
2018-01-14,"VICTORIA, TX",3.0,79.95,0.0,0.0,79.95
2018-01-14,"WACO-TEMPLE, TX",9.0,115.23,15.2,14.75,85.29
2018-01-14,"WICHITA FALLS, TX - LAWTON, OK",1.0,20.89,20.89,0.0,0.0
2018-01-14,"WICHITA-HUTCHINSON, KS",0.0,0.0,0.0,0.0,0.0
2018-01-21,"ABILENE, TX",12.0,181.18,20.49,6.15,154.53
2018-01-21,"ALEXANDRIA, LA",11.0,183.96,9.26,50.39,124.31
2018-01-21,"AMARILLO, TX",18.0,120.07,19.47,9.98,90.62
2018-01-21,"AUSTIN, TX",13.0,137.13,13.75,18.04,105.34
2018-01-21,"BLUEFIELD-BECKLEY, WV",13.0,114.64,4.94,10.52,99.18
2018-01-21,"CHARLESTON-HUNTINGTON, WV",33.0,124.89,10.78,9.64,104.47
2018-01-21,"CLARKSBURG-WESTON, WV",3.0,165.92,0.0,17.63,148.28
2018-01-21,"CLEVELAND, OH",0.0,0.0,0.0,0.0,0.0
2018-01-21,"COLUMBIA-JEFFERSON CITY, MO",0.0,0.0,0.0,0.0,0.0
2018-01-21,"COLUMBUS, OH",0.0,0.0,0.0,0.0,0.0
2018-01-21,"DALLAS, TX",14.0,154.24,16.16,5.99,132.09
2018-01-21,"EUREKA, CA",8.0,133.06,0.0,9.98,123.08
2018-01-21,"FRESNO-VISALIA, CA",0.0,0.0,0.0,0.0,0.0
2018-01-21,"FT SMITH, AR",0.0,0.0,0.0,0.0,0.0
2018-01-21,"GREENVILLE-NEW BERN, NC",18.0,125.03,10.52,14.83,99.67
2018-01-21,"GREENWOOD-GREENVILLE, MS",7.0,155.18,8.99,21.24,124.95
2018-01-21,"HOUSTON, TX",19.0,135.23,10.93,13.45,110.85
2018-01-21,"JONESBORO, AR",10.0,101.0,21.8,15.78,63.42
2018-01-21,"JOPLIN, MO - PITTSBURG, KS",1.0,84.95,0.0,0.0,84.95
2018-01-21,"KANSAS CITY, MO",1.0,94.95,0.0,0.0,94.95
2018-01-21,"LAFAYETTE, LA",1.0,94.95,0.0,0.0,94.95
2018-01-21,"LAKE CHARLES, LA",15.0,215.79,19.82,23.48,172.49
2018-01-21,"LAS VEGAS, NV",1.0,134.95,0.0,0.0,134.95
2018-01-21,"LITTLE ROCK, AR",25.0,124.2,40.2,13.27,70.73
2018-01-21,"LOS ANGELES, CA",1.0,94.95,0.0,0.0,94.95
2018-01-21,"LUBBOCK, TX",30.0,159.15,30.22,14.77,114.16
2018-01-21,"MEMPHIS, TN",0.0,0.0,0.0,0.0,0.0
