period,brand,avg_tot_bill_per_hh,avg_video_bill_per_hh,avg_ov_bill_per_hh,avg_ool_bill_per_hh
2017-12-31,OPT,115.37598,13.68072,34.4958,67.19946
2017-12-31,SDL,125.916054217,17.579156627,14.229186747,94.107710843
2018-01-07,OPT,115.797123936,16.768637654,30.953027436,68.075458846
2018-01-07,SDL,141.384867841,19.886123348,15.256519824,106.24222467
2018-01-14,OPT,115.282843137,16.049105392,34.400919118,64.832818627
2018-01-14,SDL,135.297846608,19.075516224,14.946637168,101.275693215
2018-01-21,OPT,114.142057942,14.804105894,31.721328671,67.616623377
2018-01-21,SDL,136.512224719,16.856044944,11.68341573,107.972764045
2018-01-28,OPT,122.536043841,19.947797495,35.229070981,67.359175365
2018-01-28,SDL,144.756468085,23.816744681,14.725680851,106.214042553
2018-02-04,OPT,112.803550885,15.585044248,34.925774336,62.292732301
2018-02-04,SDL,131.475618812,19.331633663,12.419059406,99.724925743
2018-02-11,OPT,116.627553794,18.944428086,33.364382786,64.318742922
2018-02-11,SDL,148.829809322,30.885868644,14.688432203,103.255508475
2018-02-18,OPT,125.255052083,20.822135417,37.454036458,66.978880208
2018-02-18,SDL,132.032962963,19.143783069,12.250396825,100.638783069
2018-02-25,OPT,124.467011616,17.098521647,39.702956705,67.665533263
2018-02-25,SDL,153.607287449,36.767530364,15.110465587,101.729291498
2018-03-04,OPT,113.241790668,14.866456494,33.85258512,64.522749054
2018-03-04,SDL,131.540283224,23.135294118,11.127755991,97.277233115
2018-03-11,OPT,118.217751142,16.499874429,36.372374429,65.345502283
2018-03-11,SDL,141.58066561,18.502567353,7.340744849,115.737353407
2018-03-18,OPT,121.438852459,19.71684153,35.031639344,66.690371585
2018-03-18,SDL,129.288106904,18.191224944,10.997260579,100.099621381
2018-03-25,OPT,116.620423077,15.6795,36.835625,64.105298077
2018-03-25,SDL,162.159288703,30.786882845,10.939979079,120.432426778
2018-04-01,OPT,123.729346847,16.836542793,38.298029279,68.594774775
2018-04-01,SDL,128.562645403,19.076679174,13.1169606,96.369005629
2018-04-08,OPT,118.991216362,18.951840689,34.364262648,65.675113025
2018-04-08,SDL,138.799674797,25.104735772,10.87550813,102.819430894
2018-04-15,OPT,124.752536974,18.065540387,37.004266212,69.682730375
2018-04-15,SDL,131.755446429,21.859174107,12.98671875,96.909553571
2018-04-22,OPT,121.107388211,16.673963415,35.816056911,68.617367886
2018-04-22,SDL,115.589954128,14.530252294,11.126949541,89.932752294
2018-04-29,OPT,123.775744235,20.971886792,34.498742138,68.305115304
2018-04-29,SDL,159.784680851,37.758893617,15.27187234,106.753914894
2018-05-06,OPT,111.347486966,18.770385819,32.700156413,59.876944734
2018-05-06,SDL,127.912564103,26.041410256,13.609871795,88.261282051
2018-05-13,OPT,113.984635417,16.6455625,32.442135417,64.8969375
2018-05-13,SDL,192.153028455,61.611056911,13.522845528,117.019126016
2018-05-20,OPT,121.384284232,19.006327801,33.011514523,69.366441909
2018-05-20,SDL,110.788529412,16.237149321,14.751199095,79.800180995
2018-05-27,OPT,121.648086839,16.930678426,35.97265943,68.744748982
2018-05-27,SDL,142.850876404,32.76941573,15.646898876,94.434561798
2018-06-03,OPT,119.31610245,15.51467706,34.809743875,68.991681514
2018-06-03,SDL,127.639426049,25.874746137,14.995783664,86.768896247
2018-06-10,OPT,113.354100418,16.002207113,32.081433054,65.270460251
2018-06-10,SDL,127.306127451,39.565465686,15.128504902,72.612156863
2018-06-17,OPT,120.017973124,17.724882419,31.685442329,70.607648376
2018-06-17,SDL,114.506831169,30.371480519,15.551454545,68.583896104
2018-06-24,OPT,117.681557377,16.392028689,33.931147541,67.358381148
2018-06-24,SDL,100.588714597,15.018867102,13.79422658,71.775620915
2018-07-01,OPT,118.42328594,15.319162717,32.562085308,70.542037915
2018-07-01,SDL,101.224550129,22.816401028,16.623521851,61.784627249
2018-07-08,OPT,119.695087719,17.34354386,30.827368421,71.524175439
2018-07-08,SDL,116.700220083,12.805570839,9.336602476,94.558046768
2018-07-15,OPT,119.693530702,13.617247807,34.606962719,71.469320175
2018-07-15,SDL,123.216681514,18.497928731,11.993652561,92.725100223
2018-07-22,OPT,127.862657343,16.942913753,37.217890443,73.701853147
2018-07-22,SDL,130.883957845,16.264543326,15.469648712,99.149765808
2018-07-29,OPT,126.536096059,16.948953202,36.804495074,72.782647783
2018-07-29,SDL,138.05597619,25.865309524,11.274666667,100.916
2018-08-05,OPT,125.314942821,17.649047014,32.428907243,75.236988564
2018-08-05,SDL,166.224268537,45.931603206,12.165691383,108.126973948
2018-08-12,OPT,124.314726302,17.481748999,31.914953271,74.918024032
2018-08-12,SDL,125.925324675,19.934372294,9.844502165,96.146450216
2018-08-19,OPT,126.869045849,17.412032218,32.161090458,77.295923172
2018-08-19,SDL,121.48876087,13.20473913,9.666304348,98.617717391
2018-08-26,OPT,130.009312039,15.613476658,33.79987715,80.595958231
2018-08-26,SDL,182.197328386,58.2616141,13.44296846,110.492745826
2018-09-02,OPT,128.537698745,15.743570432,32.714783821,80.079344491
2018-09-02,SDL,136.36440806,18.273224181,14.157380353,103.933803526
2018-09-09,OPT,135.675845588,19.807254902,36.565747549,79.302843137
2018-09-09,SDL,140.727596154,26.204576923,16.950634615,97.572384615
2018-09-16,OPT,128.185273632,17.298029851,32.967960199,77.919283582
2018-09-16,SDL,152.352820513,23.481468531,13.82988345,115.041468531
2018-09-23,OPT,132.102372263,20.798527981,34.4743309,76.829513382
2018-09-23,SDL,122.376757813,13.9528125,10.611074219,97.812871094
2018-09-30,OPT,129.883248175,18.235729927,34.395377129,77.252141119
2018-09-30,SDL,121.970131868,16.117648352,11.726549451,94.125934066
2018-10-07,OPT,127.910590278,18.214953704,33.606018519,76.089618056
2018-10-07,SDL,150.571305263,29.324926316,13.123536842,108.122842105
2018-10-14,OPT,129.118751501,16.577887155,34.290456182,78.250408163
2018-10-14,SDL,175.080378486,42.70189243,12.83249004,119.545996016
2018-10-21,OPT,134.278179848,21.980574215,33.827735645,78.469869989
2018-10-21,SDL,213.469158654,73.470336538,11.717956731,128.280865385
2018-10-28,OPT,130.782087054,17.252310268,34.356082589,79.173694196
2018-10-28,SDL,146.942896406,18.808921776,13.027801268,115.106173362
2018-11-04,OPT,124.095953142,16.061980831,30.992651757,77.041320554
2018-11-04,SDL,146.656061321,21.491768868,12.907382075,112.256910377
2018-11-11,OPT,131.1274875,15.896875,34.86,80.3706125
2018-11-11,SDL,144.550441558,31.077714286,10.991038961,102.481688312
2018-11-18,OPT,125.92750503,15.999014085,32.370623742,77.557867203
2018-11-18,SDL,141.214163424,27.438521401,13.759571984,100.016070039
2018-11-25,OPT,127.363383298,15.324293362,31.86108137,80.178008565
2018-11-25,SDL,154.089331984,28.050789474,14.293238866,111.745303644
2018-12-02,OPT,135.213754601,15.735128834,35.808404908,83.670220859
2018-12-02,SDL,148.097929515,29.05715859,14.001123348,105.039647577
2018-12-09,OPT,133.30511811,16.570944882,34.469347582,82.264825647
2018-12-09,SDL,139.853964646,19.238964646,13.026742424,107.588257576
2018-12-16,OPT,132.494832134,18.655647482,33.577338129,80.261846523
2018-12-16,SDL,151.190344828,26.622827586,19.467609195,105.099908046
2018-12-23,OPT,143.118512545,21.089982079,38.994086022,83.034444444
2018-12-23,SDL,140.208030303,21.478636364,14.588484848,104.140909091
2018-12-30,OPT,137.503404635,19.687504456,35.956238859,81.859661319
2018-12-30,SDL,145.470286738,21.708064516,19.116666667,104.645555556
2019-01-06,OPT,121.705315615,14.362945736,31.885215947,75.457153931
2019-01-06,SDL,147.671894977,30.357283105,12.770913242,104.54369863
2019-01-13,OPT,131.656855792,16.751761229,34.493380615,80.411713948
2019-01-13,SDL,140.376585903,17.78030837,12.349581498,110.246696035
2019-01-20,OPT,130.911013333,16.521013333,35.018666667,79.371333333
2019-01-20,SDL,145.200368421,22.740789474,12.201631579,110.257947368
2019-01-27,OPT,138.029252669,17.363594306,36.448279953,84.21737841
2019-01-27,SDL,145.443326271,20.409936441,15.864788136,109.168601695
2019-02-03,OPT,129.079113636,15.396488636,34.947329545,78.735295455
2019-02-03,SDL,125.733117783,13.726928406,12.548752887,99.45743649
2019-02-10,OPT,128.637272727,16.974040404,31.973611111,79.689621212
2019-02-10,SDL,131.736175637,15.081529745,11.603229462,105.051416431
2019-02-17,OPT,133.865201729,16.832708934,35.320100865,81.712391931
2019-02-17,SDL,124.374864865,12.259648649,10.599432432,101.515783784
2019-02-24,OPT,139.429861259,17.960853789,39.156136606,82.312870864
2019-02-24,SDL,141.109096774,19.091892473,12.754989247,109.262215054
2019-03-03,OPT,123.64890644,13.477253949,30.112393682,80.059258809
2019-03-03,SDL,130.208496732,16.725511983,12.18,101.302984749
2019-03-10,OPT,130.190827068,14.764897959,33.000912997,82.425016112
2019-03-10,SDL,129.681477273,17.743340909,13.324681818,98.613454545
2019-03-17,OPT,137.45801105,28.464033149,31.440662983,77.553314917
2019-03-17,SDL,148.285978723,25.852744681,13.931638298,108.501595745
2019-03-24,OPT,137.114696189,20.961009269,35.901596292,80.252090628
2019-03-24,SDL,140.56866548,14.480391459,14.979839858,111.108434164
2019-03-31,OPT,129.358710338,15.238413511,34.733367451,79.386929376
2019-03-31,SDL,211.859980952,21.121828571,12.250342857,178.487809524
2019-04-07,OPT,129.125491713,18.729425414,32.720662983,77.675403315
2019-04-07,SDL,149.053206278,26.295112108,14.572600897,108.185493274
2019-04-14,OPT,129.081122931,16.844751773,33.504137116,78.732234043
2019-04-14,SDL,145.0665311,25.64215311,14.127320574,105.297057416
2019-04-21,OPT,133.44919109,16.363212192,36.465650645,80.620328253
2019-04-21,SDL,145.407777778,21.996893939,12.846691919,110.564191919
2019-04-28,OPT,128.086138917,18.0586619,33.053626149,76.973850868
2019-04-28,SDL,142.353532009,23.548918322,14.262030905,104.542582781
2019-05-05,OPT,130.210260022,17.858504875,33.708450704,78.643304442
2019-05-05,SDL,135.415483871,17.664043011,9.168430108,108.583010753
2019-05-12,OPT,124.607598608,18.989837587,29.237761021,76.38
2019-05-12,SDL,161.360788177,30.010640394,11.247068966,120.103078818
2019-05-19,OPT,139.807129187,24.702308612,32.451614833,82.653205742
2019-05-19,SDL,142.195770171,18.350513447,10.094694377,113.750562347
2019-05-26,OPT,135.886073232,16.419204545,37.713320707,81.75354798
2019-05-26,SDL,138.872480211,18.761292876,13.153350923,106.957836412
2019-06-02,OPT,131.462648045,18.671206704,33.942067039,78.849374302
2019-06-02,SDL,144.991071429,25.215785714,13.0195,106.755785714
2019-06-09,OPT,144.763435208,24.162579462,36.083251834,84.517603912
2019-06-09,SDL,134.730648148,17.351273148,12.51912037,104.86025463
2019-06-16,OPT,129.215119183,15.898047673,32.542167991,80.774903519
2019-06-16,SDL,150.395859375,24.967552083,14.669036458,110.759270833
2019-06-23,OPT,131.288088386,19.351675231,33.988078109,77.948335046
2019-06-23,SDL,140.609056604,18.233679245,13.590589623,108.784787736
2019-06-30,OPT,137.275955414,21.210302548,34.757006369,81.308646497
2019-06-30,SDL,133.287460317,15.773941799,12.310343915,105.203174603
2019-07-07,OPT,139.520081776,25.5825,33.483002336,80.454579439
2019-07-07,SDL,141.828037135,19.895809019,14.334270557,107.59795756
2019-07-14,OPT,126.805480649,16.755131086,32.797815231,77.252534332
2019-07-14,SDL,144.746372796,27.559395466,13.982821159,103.204156171
2019-07-21,OPT,139.262427307,22.78011378,35.069279393,81.413034134
2019-07-21,SDL,141.908646081,21.713206651,12.2195962,107.97584323
2019-07-28,OPT,144.076816431,24.930513479,38.506739409,80.639563543
2019-07-28,SDL,138.692285714,16.097408163,16.859632653,105.735244898
2019-08-04,OPT,130.870034602,15.744936563,35.049711649,80.07538639
2019-08-04,SDL,130.24760095,13.807505938,12.507315914,103.932779097
2019-08-11,OPT,136.796741294,20.467661692,36.77891791,79.550161692
2019-08-11,SDL,142.541207289,23.850501139,13.1838041,105.50690205
2019-08-18,OPT,139.104470899,20.154616402,36.168783069,82.781071429
2019-08-18,SDL,144.857333333,27.375978495,12.688322581,104.793032258
2019-08-25,OPT,137.458551651,21.524270501,36.469222577,79.465058573
2019-08-25,SDL,133.127764706,20.225344538,13.163428571,99.738991597
2019-09-01,OPT,137.738543689,28.324126214,35.017475728,74.396941748
2019-09-01,SDL,168.359230769,0.473076923,21.053846154,146.832307692
2019-09-08,OPT,132.102194929,18.566568938,35.877337559,77.658288431
2019-09-08,SDL,104.392643253,-5.821959335,6.585951941,103.628650647
2019-09-15,OPT,132.563739931,19.673084005,34.542635213,78.348020713
2019-09-15,SDL,149.225929919,12.716684636,17.439865229,119.069380054
2019-09-22,OPT,147.613061002,29.82577342,36.004793028,81.782494553
2019-09-22,SDL,152.477669492,13.989618644,20.623940678,117.864110169
2019-09-29,OPT,137.74197314,20.548057851,38.509969008,78.683946281
2019-09-29,SDL,149.974139434,13.756535948,18.188235294,118.029368192
2019-10-06,OPT,136.264969325,20.556490798,35.583312883,80.125165644
2019-10-06,SDL,150.530845666,10.749386892,21.602854123,118.178604651
2019-10-13,OPT,145.288031609,27.264439655,35.457112069,82.566479885
2019-10-13,SDL,152.338060046,12.9147806,18.389030023,121.034249423
2019-10-20,OPT,136.509244558,21.266478873,38.649679898,76.593085787
2019-10-20,SDL,139.499385343,10.739881797,16.672647754,112.086855792
2019-10-27,OPT,138.627479954,18.623264605,40.48419244,79.52002291
2019-10-27,SDL,159.577158351,12.682798265,22.502819957,124.39154013
2019-11-03,OPT,138.84900978,16.929767726,40.219315403,81.69992665
2019-11-03,SDL,125.551628319,10.145168142,16.830973451,98.575486726
2019-11-10,OPT,134.993984962,18.455388471,38.001503759,78.537092732
2019-11-10,SDL,155.385222772,13.763638614,19.543415842,122.078168317
2019-11-17,OPT,131.431296519,19.401452581,35.242737095,76.787106843
2019-11-17,SDL,153.125110565,19.267911548,24.197665848,109.65953317
2019-11-24,OPT,154.062472527,24.461190476,48.75503663,80.846245421
2019-11-24,SDL,145.071693548,12.973467742,22.346169355,109.752056452
2019-12-01,OPT,137.335687427,19.947790834,37.173090482,80.21480611
2019-12-01,SDL,145.279581281,14.141576355,22.215270936,108.92273399
2019-12-08,OPT,139.466604867,24.645608343,35.08783314,79.733163384
2019-12-08,SDL,127.717835294,10.803270588,20.688941176,96.225623529
2019-12-15,OPT,145.95845839,24.023819918,36.022032742,85.91260573
2019-12-15,SDL,138.607363184,9.271343284,21.116169154,108.219850746
2019-12-22,OPT,133.162485323,18.714637965,37.905381605,76.542465753
2019-12-22,SDL,152.986759259,15.701527778,27.433055556,109.852175926
2019-12-29,OPT,150.86387372,23.672389078,41.494112628,85.697372014
2019-12-29,SDL,160.618295082,18.049508197,24.991967213,117.576819672
2020-01-05,OPT,137.174310545,20.739606025,33.940903824,82.493800695
2020-01-05,SDL,148.435944056,18.258717949,19.452797203,110.724428904
2020-01-12,OPT,141.832525381,22.9625,38.822906091,80.047119289
2020-01-12,SDL,130.726625917,11.718533007,20.310513447,98.697579462
2020-01-19,OPT,142.109676425,22.35440678,37.618181818,82.137087827
2020-01-19,SDL,139.084396135,12.72763285,22.161231884,104.195531401
