period,"""frontier business""","""optimum business""","""verizon business""","""ATT business""","""suddenlink business"""
2017-12-31,2,9,50,18,5
2018-01-07,2,11,68,26,2
2018-01-14,7,4,55,15,2
2018-01-21,4,11,56,26,2
2018-01-28,4,0,73,24,2
2018-02-04,2,4,60,19,2
2018-02-11,4,6,73,24,0
2018-02-18,6,4,64,28,0
2018-02-25,2,0,49,38,2
2018-03-04,4,9,73,34,2
2018-03-11,9,4,41,21,4
2018-03-18,4,9,57,15,4
2018-03-25,4,2,40,20,2
2018-04-01,2,4,84,13,0
2018-04-08,2,7,70,20,2
2018-04-15,4,4,54,19,0
2018-04-22,4,6,54,35,0
2018-04-29,0,2,50,26,2
2018-05-06,0,7,60,24,0
2018-05-13,2,7,72,27,4
2018-05-20,2,2,53,9,2
2018-05-27,2,0,37,14,0
2018-06-03,5,7,57,34,0
2018-06-10,2,7,51,27,4
2018-06-17,7,14,62,23,2
2018-06-24,0,14,65,25,9
2018-07-01,0,7,40,24,0
2018-07-08,2,18,63,45,2
2018-07-15,2,2,77,35,7
2018-07-22,11,9,73,29,0
2018-07-29,5,11,67,37,5
2018-08-05,11,9,55,44,2
2018-08-12,2,9,85,34,2
2018-08-19,2,0,55,23,7
2018-08-26,2,2,61,34,0
2018-09-02,9,9,65,38,0
2018-09-09,4,13,65,32,2
2018-09-16,2,7,79,24,0
2018-09-23,4,7,91,33,2
2018-09-30,2,11,82,29,0
2018-10-07,0,7,60,27,4
2018-10-14,2,2,61,25,2
2018-10-21,11,9,74,18,0
2018-10-28,4,4,61,27,0
2018-11-04,2,4,44,17,4
2018-11-11,2,2,75,18,2
2018-11-18,0,10,69,26,0
2018-11-25,2,8,66,26,2
2018-12-02,2,11,60,19,2
2018-12-09,2,2,77,31,2
2018-12-16,0,0,74,34,2
2018-12-23,0,5,59,39,0
2018-12-30,2,7,80,17,7
2019-01-06,2,9,87,33,2
2019-01-13,2,4,58,37,0
2019-01-20,2,4,69,28,2
2019-01-27,2,4,45,21,2
2019-02-03,2,2,65,36,4
2019-02-10,8,4,66,19,0
2019-02-17,11,2,67,17,6
2019-02-24,4,4,76,27,4
2019-03-03,2,6,77,26,4
2019-03-10,6,4,78,19,4
2019-03-17,2,9,85,11,4
2019-03-24,4,7,55,20,0
2019-03-31,0,4,79,26,2
2019-04-07,0,4,64,20,2
2019-04-14,2,9,70,16,4
2019-04-21,0,5,75,34,0
2019-04-28,2,0,63,22,4
2019-05-05,2,9,86,38,4
2019-05-12,0,7,66,25,0
2019-05-19,5,5,79,14,2
2019-05-26,2,5,70,30,2
2019-06-02,2,4,65,22,0
2019-06-09,4,13,72,31,4
2019-06-16,0,13,78,31,2
2019-06-23,2,5,55,16,0
2019-06-30,5,12,65,30,2
2019-07-07,2,2,97,36,0
2019-07-14,2,7,83,38,2
2019-07-21,0,9,89,35,7
2019-07-28,2,5,83,35,2
2019-08-04,0,7,66,46,2
2019-08-11,4,7,91,29,4
2019-08-18,0,7,89,41,2
2019-08-25,2,9,81,32,0
2019-09-01,6,14,58,29,0
2019-09-08,4,4,89,22,4
2019-09-15,4,2,92,26,4
2019-09-22,4,2,100,24,2
2019-09-29,6,6,81,39,6
2019-10-06,0,4,48,27,4
2019-10-13,0,4,84,25,4
2019-10-20,2,6,63,30,4
2019-10-27,6,6,71,20,2
