period,product,market,speed,bundle,package,packageType,price,price_market_speed_bundle_package_packageType
2021-04-18,Optimum Business,,100.0,1P,OOL,,,_100.0_1P_OOL_
2021-04-18,Optimum Business,,150.0,1P,OOL,,,_150.0_1P_OOL_
2021-04-18,Optimum Business,,200.0,1P,OOL,,,_200.0_1P_OOL_
2021-04-18,Optimum Business,,250.0,1P,OOL,,,_250.0_1P_OOL_
2021-04-18,Optimum Business,,300.0,1P,OOL,,64.95,_300.0_1P_OOL_
2021-04-18,Optimum Business,,350.0,1P,OOL,,,_350.0_1P_OOL_
2021-04-18,Optimum Business,,450.0,1P,OOL,,,_450.0_1P_OOL_
2021-04-18,Optimum Business,,500.0,1P,OOL,,104.95,_500.0_1P_OOL_
2021-04-18,Optimum Business,,700.0,1P,OOL,,159.95,_700.0_1P_OOL_
2021-04-18,Optimum Business,,940.0,1P,OOL,,299.95,_940.0_1P_OOL_
2021-04-18,Optimum Business,,,1P,OV,,34.95,__1P_OV_
2021-04-18,Optimum Business,,,1P,VIDEO,Broadcast Basic,25.95,__1P_VIDEO_Broadcast Basic
2021-04-18,Optimum Business,,,1P,VIDEO,Business Choice,44.95,__1P_VIDEO_Business Choice
2021-04-18,Optimum Business,,,1P,VIDEO,Business Value,84.99,__1P_VIDEO_Business Value
2021-04-18,Optimum Business,,,1P,VIDEO,Business Preferred,94.99,__1P_VIDEO_Business Preferred
2021-04-18,Optimum Business,,,1P,VIDEO,Entertainment Basic,,__1P_VIDEO_Entertainment Basic
2021-04-18,Optimum Business,,,1P,VIDEO,Entertainment Value,84.99,__1P_VIDEO_Entertainment Value
2021-04-18,Optimum Business,,,1P,VIDEO,Entertainment Preferred,94.99,__1P_VIDEO_Entertainment Preferred
2021-04-18,Optimum Business,,100.0,2P,"OOL, OV",,,"_100.0_2P_OOL, OV_"
2021-04-18,Optimum Business,,100.0,2P,"VIDEO, OOL",Broadcast Basic,,"_100.0_2P_VIDEO, OOL_Broadcast Basic"
2021-04-18,Optimum Business,,100.0,2P,"VIDEO, OOL",Business Choice,,"_100.0_2P_VIDEO, OOL_Business Choice"
2021-04-18,Optimum Business,,100.0,2P,"VIDEO, OOL",Business Value,,"_100.0_2P_VIDEO, OOL_Business Value"
2021-04-18,Optimum Business,,100.0,2P,"VIDEO, OOL",Business Preferred,,"_100.0_2P_VIDEO, OOL_Business Preferred"
2021-04-18,Optimum Business,,100.0,2P,"VIDEO, OOL",Entertainment Value,,"_100.0_2P_VIDEO, OOL_Entertainment Value"
2021-04-18,Optimum Business,,100.0,2P,"VIDEO, OOL",Entertainment Preferred,,"_100.0_2P_VIDEO, OOL_Entertainment Preferred"
2021-04-18,Optimum Business,,150.0,2P,"OOL, OV",,,"_150.0_2P_OOL, OV_"
2021-04-18,Optimum Business,,150.0,2P,"VIDEO, OOL",Broadcast Basic,,"_150.0_2P_VIDEO, OOL_Broadcast Basic"
2021-04-18,Optimum Business,,150.0,2P,"VIDEO, OOL",Business Choice,,"_150.0_2P_VIDEO, OOL_Business Choice"
2021-04-18,Optimum Business,,150.0,2P,"VIDEO, OOL",Business Value,,"_150.0_2P_VIDEO, OOL_Business Value"
2021-04-18,Optimum Business,,150.0,2P,"VIDEO, OOL",Business Preferred,,"_150.0_2P_VIDEO, OOL_Business Preferred"
2021-04-18,Optimum Business,,150.0,2P,"VIDEO, OOL",Entertainment Value,,"_150.0_2P_VIDEO, OOL_Entertainment Value"
