period,DMA,sales
2021-12-19,"TULSA, OK",3.0
2021-12-19,"AUSTIN, TX",9.0
2021-12-19,"EUREKA, CA",8.0
2021-12-19,"HOUSTON, TX",9.0
2021-12-19,"LUBBOCK, TX",17.0
2021-12-19,"PHOENIX, AZ",17.0
2021-12-19,"AMARILLO, TX",8.0
2021-12-19,"VICTORIA, TX",5.0
2021-12-19,"JONESBORO, AR",7.0
2021-12-19,"ST JOSEPH, MO",2.0
2021-12-19,"ALEXANDRIA, LA",8.0
2021-12-19,"SAN ANGELO, TX",7.0
2021-12-19,"SHREVEPORT, LA",6.0
2021-12-19,"LITTLE ROCK, AR",8.0
2021-12-19,"PARKERSBERG, WV",2.0
2021-12-19,"SPRINGFIELD, MO",8.0
2021-12-19,"LAKE CHARLES, LA",12.0
2021-12-19,"OKLAHOMA CITY, OK",9.0
2021-12-19,"ODESSA-MIDLAND, TX",11.0
2021-12-19,"RALEIGH-DURHAM, NC",12.0
2021-12-19,"TYLER-LONGVIEW, TX",29.0
2021-12-19,"DALLAS, TX",12.0
2021-12-19,"WACO-TEMPLE, TX",11.0
2021-12-19,"ABILENE, TX",6.0
2021-12-19,"MONROE-ELDORADO, LA",9.0
2021-12-19,"CHARLESTON-HUNTINGTON, WV",21.0
2021-12-19,"GREENVILLE-NEW BERN, NC",29.0
2021-12-19,"BLUEFIELD-BECKLEY, WV",12.0
2021-12-19,"JOPLIN, MO - PITTSBURG, KS",1.0
2021-12-19,"WICHITA-HUTCHINSON, KS",0.0
2021-12-19,"CLARKSBURG-WESTON, WV",1.0
2021-12-19,"GREENWOOD-GREENVILLE, MS",4.0
2021-12-19,"COLUMBUS, OH",0.0
2021-12-19,"SPOKANE, WA",0.0
2021-12-19,"FT SMITH, AR",1.0
2021-12-19,"CLEVELAND, OH",0.0
2021-12-19,"LAS VEGAS, NV",1.0
2021-12-19,"RENO, NV",0.0
2021-12-19,"PALM SPRINGS, CA",4.0
2021-12-19,"SHERMAN-ADA, OK",0.0
2021-12-19,"LOS ANGELES, CA",1.0
2021-12-19,"MEMPHIS, TN",0.0
2021-12-19,"KANSAS CITY, MO",0.0
2021-12-19,"SACRAMENTO, CA",5.0
2021-12-19,"WICHITA FALLS, TX - LAWTON, OK",0.0
2021-12-19,"COLUMBIA-JEFFERSON CITY, MO",0.0
2021-12-19,"MONTEREY-SALINAS, CA",0.0
2021-12-19,"SAN ANTONIO, TX",0.0
2021-12-19,"LAFAYETTE, LA",0.0
2021-12-19,"FRESNO-VISALIA, CA",0.0
2021-12-19,"NEW YORK, NY",710.0
2021-12-19,No DMA,0.0
2021-08-08,"TULSA, OK",8.0
2021-08-08,"AUSTIN, TX",21.0
2021-08-08,"EUREKA, CA",16.0
2021-08-08,"HOUSTON, TX",16.0
2021-08-08,"LUBBOCK, TX",17.0
2021-08-08,"PHOENIX, AZ",47.0
2021-08-08,"AMARILLO, TX",12.0
2021-08-08,"VICTORIA, TX",9.0
2021-08-08,"JONESBORO, AR",4.0
2021-08-08,"ST JOSEPH, MO",2.0
2021-08-08,"ALEXANDRIA, LA",18.0
2021-08-08,"SAN ANGELO, TX",16.0
2021-08-08,"SHREVEPORT, LA",17.0
2021-08-08,"LITTLE ROCK, AR",18.0
2021-08-08,"PARKERSBERG, WV",18.0
2021-08-08,"SPRINGFIELD, MO",19.0
2021-08-08,"LAKE CHARLES, LA",22.0
2021-08-08,"OKLAHOMA CITY, OK",19.0
2021-08-08,"ODESSA-MIDLAND, TX",15.0
2021-08-08,"RALEIGH-DURHAM, NC",9.0
2021-08-08,"TYLER-LONGVIEW, TX",44.0
2021-08-08,"DALLAS, TX",54.0
2021-08-08,"WACO-TEMPLE, TX",22.0
2021-08-08,"ABILENE, TX",18.0
2021-08-08,"MONROE-ELDORADO, LA",9.0
2021-08-08,"CHARLESTON-HUNTINGTON, WV",34.0
2021-08-08,"GREENVILLE-NEW BERN, NC",40.0
2021-08-08,"BLUEFIELD-BECKLEY, WV",17.0
2021-08-08,"JOPLIN, MO - PITTSBURG, KS",1.0
2021-08-08,"WICHITA-HUTCHINSON, KS",0.0
2021-08-08,"CLARKSBURG-WESTON, WV",3.0
2021-08-08,"GREENWOOD-GREENVILLE, MS",5.0
2021-08-08,"COLUMBUS, OH",0.0
2021-08-08,"SPOKANE, WA",3.0
2021-08-08,"FT SMITH, AR",1.0
2021-08-08,"CLEVELAND, OH",0.0
2021-08-08,"LAS VEGAS, NV",4.0
2021-08-08,"RENO, NV",2.0
2021-08-08,"PALM SPRINGS, CA",3.0
2021-08-08,"SHERMAN-ADA, OK",2.0
2021-08-08,"LOS ANGELES, CA",1.0
2021-08-08,"MEMPHIS, TN",3.0
2021-08-08,"KANSAS CITY, MO",1.0
2021-08-08,"SACRAMENTO, CA",7.0
2021-08-08,"WICHITA FALLS, TX - LAWTON, OK",1.0
2021-08-08,"COLUMBIA-JEFFERSON CITY, MO",0.0
2021-08-08,"MONTEREY-SALINAS, CA",1.0
2021-08-08,"SAN ANTONIO, TX",0.0
2021-08-08,"LAFAYETTE, LA",0.0
