period,DMA,sales
2019-09-29,"TULSA, OK",7.0
2019-09-29,"AUSTIN, TX",15.0
2019-09-29,"EUREKA, CA",10.0
2019-09-29,"HOUSTON, TX",20.0
2019-09-29,"LUBBOCK, TX",24.0
2019-09-29,"PHOENIX, AZ",22.0
2019-09-29,"AMARILLO, TX",12.0
2019-09-29,"VICTORIA, TX",10.0
2019-09-29,"JONESBORO, AR",10.0
2019-09-29,"ST JOSEPH, MO",14.0
2019-09-29,"ALEXANDRIA, LA",16.0
2019-09-29,"SAN ANGELO, TX",14.0
2019-09-29,"SHREVEPORT, LA",23.0
2019-09-29,"LITTLE ROCK, AR",31.0
2019-09-29,"PARKERSBERG, WV",12.0
2019-09-29,"SPRINGFIELD, MO",18.0
2019-09-29,"LAKE CHARLES, LA",16.0
2019-09-29,"OKLAHOMA CITY, OK",21.0
2019-09-29,"ODESSA-MIDLAND, TX",28.0
2019-09-29,"RALEIGH-DURHAM, NC",7.0
2019-09-29,"TYLER-LONGVIEW, TX",48.0
2019-09-29,"DALLAS, TX",26.0
2019-09-29,"WACO-TEMPLE, TX",18.0
2019-09-29,"ABILENE, TX",22.0
2019-09-29,"MONROE-ELDORADO, LA",9.0
2019-09-29,"CHARLESTON-HUNTINGTON, WV",37.0
2019-09-29,"GREENVILLE-NEW BERN, NC",45.0
2019-09-29,"BLUEFIELD-BECKLEY, WV",17.0
2019-09-29,"SACRAMENTO, CA",4.0
2019-09-29,"SPOKANE, WA",1.0
2019-09-29,"COLUMBIA-JEFFERSON CITY, MO",1.0
2019-09-29,"FRESNO-VISALIA, CA",0.0
2019-09-29,"SAN ANTONIO, TX",0.0
2019-09-29,"COLUMBUS, OH",0.0
2019-09-29,"CLEVELAND, OH",0.0
2019-09-29,"PALM SPRINGS, CA",2.0
2019-09-29,"FT SMITH, AR",0.0
2019-09-29,"KANSAS CITY, MO",1.0
2019-09-29,"MONTEREY-SALINAS, CA",0.0
2019-09-29,"CLARKSBURG-WESTON, WV",2.0
2019-09-29,"JOPLIN, MO - PITTSBURG, KS",1.0
2019-09-29,"WICHITA-HUTCHINSON, KS",0.0
2019-09-29,"LOS ANGELES, CA",3.0
2019-09-29,"RENO, NV",1.0
2019-09-29,"WICHITA FALLS, TX - LAWTON, OK",1.0
2019-09-29,"LAS VEGAS, NV",2.0
2019-09-29,"LAFAYETTE, LA",0.0
2019-09-29,"GREENWOOD-GREENVILLE, MS",5.0
2019-09-29,"MEMPHIS, TN",1.0
2019-09-29,"SHERMAN-ADA, OK",1.0
2019-09-29,"NEW YORK, NY",950.0
2019-09-01,"TULSA, OK",3.0
2019-09-01,"AUSTIN, TX",6.0
2019-09-01,"EUREKA, CA",13.0
2019-09-01,"HOUSTON, TX",3.0
2019-09-01,"LUBBOCK, TX",11.0
2019-09-01,"PHOENIX, AZ",12.0
2019-09-01,"AMARILLO, TX",4.0
2019-09-01,"VICTORIA, TX",2.0
2019-09-01,"JONESBORO, AR",1.0
2019-09-01,"ST JOSEPH, MO",2.0
2019-09-01,"ALEXANDRIA, LA",1.0
2019-09-01,"SAN ANGELO, TX",2.0
2019-09-01,"SHREVEPORT, LA",10.0
2019-09-01,"LITTLE ROCK, AR",3.0
2019-09-01,"PARKERSBERG, WV",2.0
2019-09-01,"SPRINGFIELD, MO",4.0
2019-09-01,"LAKE CHARLES, LA",9.0
2019-09-01,"OKLAHOMA CITY, OK",7.0
2019-09-01,"ODESSA-MIDLAND, TX",10.0
2019-09-01,"RALEIGH-DURHAM, NC",5.0
2019-09-01,"TYLER-LONGVIEW, TX",22.0
2019-09-01,"DALLAS, TX",9.0
2019-09-01,"WACO-TEMPLE, TX",12.0
2019-09-01,"ABILENE, TX",7.0
2019-09-01,"MONROE-ELDORADO, LA",2.0
2019-09-01,"CHARLESTON-HUNTINGTON, WV",16.0
2019-09-01,"GREENVILLE-NEW BERN, NC",8.0
2019-09-01,"BLUEFIELD-BECKLEY, WV",12.0
2019-09-01,"SACRAMENTO, CA",5.0
2019-09-01,"SPOKANE, WA",0.0
2019-09-01,"COLUMBIA-JEFFERSON CITY, MO",0.0
2019-09-01,"FRESNO-VISALIA, CA",0.0
2019-09-01,"SAN ANTONIO, TX",0.0
2019-09-01,"COLUMBUS, OH",0.0
2019-09-01,"CLEVELAND, OH",0.0
