period,DMA,gross_add,gross_add_revenue
2015-12-27,"ABILENE, TX",1.0,2500.0
2015-12-27,"HOUSTON, TX",1.0,64.95
2015-12-27,"MONROE-ELDORADO, LA",1.0,45.36
2015-12-27,"PARKERSBERG, WV",1.0,89.95
2016-01-03,"ABILENE, TX",23.0,2069.03
2016-01-03,"ALEXANDRIA, LA",11.0,1194.15
2016-01-03,"AMARILLO, TX",18.0,2693.49
2016-01-03,"AUSTIN, TX",16.0,2184.24
2016-01-03,"BLUEFIELD-BECKLEY, WV",14.0,1615.16
2016-01-03,"CHARLESTON-HUNTINGTON, WV",22.0,2354.100000000001
2016-01-03,"CLARKSBURG-WESTON, WV",2.0,214.9
2016-01-03,"COLUMBIA-JEFFERSON CITY, MO",1.0,84.95
2016-01-03,"DALLAS, TX",26.0,3252.7300000000005
2016-01-03,"EUREKA, CA",4.0,474.8
2016-01-03,"GREENVILLE-NEW BERN, NC",19.0,2515.6600000000008
2016-01-03,"GREENWOOD-GREENVILLE, MS",6.0,599.32
2016-01-03,"HOUSTON, TX",25.0,2322.59
2016-01-03,"JONESBORO, AR",5.0,357.59000000000015
2016-01-03,"JOPLIN, MO - PITTSBURG, KS",1.0,121.46
2016-01-03,"KANSAS CITY, MO",1.0,108.9
2016-01-03,"LAKE CHARLES, LA",16.0,2486.1
2016-01-03,"LAS VEGAS, NV",2.0,179.9
2016-01-03,"LITTLE ROCK, AR",18.0,2010.95
2016-01-03,"LOS ANGELES, CA",1.0,79.95
2016-01-03,"LUBBOCK, TX",35.0,3660.1
2016-01-03,"MEMPHIS, TN",2.0,189.81
2016-01-03,"MONROE-ELDORADO, LA",11.0,1178.79
2016-01-03,"ODESSA-MIDLAND, TX",17.0,3260.5999999999995
2016-01-03,"OKLAHOMA CITY, OK",14.0,1718.31
2016-01-03,"PALM SPRINGS, CA",5.0,934.43
2016-01-03,"PARKERSBERG, WV",11.0,1009.69
2016-01-03,"PHOENIX, AZ",20.0,2103.08
2016-01-03,"RALEIGH-DURHAM, NC",8.0,729.13
2016-01-03,"RENO, NV",7.0,601.51
2016-01-03,"SACRAMENTO, CA",6.0,995.43
2016-01-03,"SAN ANGELO, TX",12.0,1747.44
2016-01-03,"SHREVEPORT, LA",17.0,1735.5900000000006
2016-01-03,"SPOKANE, WA",1.0,69.95
2016-01-03,"SPRINGFIELD, MO",14.0,1504.4599999999994
2016-01-03,"ST JOSEPH, MO",10.0,950.73
2016-01-03,"TULSA, OK",6.0,826.2800000000003
2016-01-03,"TYLER-LONGVIEW, TX",51.0,6181.870000000001
2016-01-03,"VICTORIA, TX",16.0,1770.01
2016-01-03,"WACO-TEMPLE, TX",13.0,1823.85
2016-01-03,"WICHITA FALLS, TX - LAWTON, OK",1.0,204.95
2016-01-10,"ABILENE, TX",18.0,2098.33
2016-01-10,"ALEXANDRIA, LA",15.0,1891.86
2016-01-10,"AMARILLO, TX",31.0,3533.28
2016-01-10,"AUSTIN, TX",12.0,2033.29
2016-01-10,"BLUEFIELD-BECKLEY, WV",13.0,1479.52
2016-01-10,"CHARLESTON-HUNTINGTON, WV",22.0,3041.35
2016-01-10,"CLARKSBURG-WESTON, WV",2.0,211.76
2016-01-10,"COLUMBIA-JEFFERSON CITY, MO",2.0,175.0
2016-01-10,"DALLAS, TX",19.0,19309.710000000006
2016-01-10,"EUREKA, CA",3.0,278.8
2016-01-10,"GREENVILLE-NEW BERN, NC",22.0,2697.36
2016-01-10,"GREENWOOD-GREENVILLE, MS",4.0,315.16
2016-01-10,"HOUSTON, TX",14.0,1987.76
2016-01-10,"JONESBORO, AR",4.0,444.8
2016-01-10,"JOPLIN, MO - PITTSBURG, KS",2.0,139.9
2016-01-10,"KANSAS CITY, MO",2.0,242.45
2016-01-10,"LAFAYETTE, LA",1.0,79.95
2016-01-10,"LAKE CHARLES, LA",18.0,2892.9
2016-01-10,"LITTLE ROCK, AR",27.0,2760.96
2016-01-10,"LOS ANGELES, CA",2.0,112.02
2016-01-10,"LUBBOCK, TX",28.0,4186.56
2016-01-10,"MEMPHIS, TN",1.0,364.76
2016-01-10,"MONROE-ELDORADO, LA",11.0,1285.79
